Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,11.5991,8.84131,27.7858,27.7858,0.0,0.0,0.0,163.954,664.533,149.69,71.6551,65.9227,19.9172,160.337,31.3521,0.640144,6.57922,3.61871,1.10422,8.80144,1.72102,5.11408,1.09332,0.241278,0.0471792,0.1940990425646305,,0.238892,0.290744,0.71421,3.45256,783.6000000000001,4.778048780487806,766.0,4.670731707317073,3.08895,2.41868,2.93345,-0.407133,0.928091,13.4229,2.93345,0.407133,3.76254,67.26000213623047,11,AL,George Kirby,669923,25436,25436
TEX,Rangers,10.5813,7.83957,24.892,24.892,0.0,0.170312,0.0,152.734,621.085,133.309,67.446,62.0503,17.9828,148.087,37.0491,0.947233,6.27224,3.65639,1.1154,8.72617,2.18316,3.99704,1.05966,0.238432,0.0596522,0.17877977713942528,,0.230733,0.280126,0.708849,3.57753,732.0,4.784313725490196,698.0,4.562091503267974,2.92401,2.6741,4.59427,0.709178,0.794484,12.9933,4.59427,-0.709178,3.94069,146.16000366210938,13,AL,Nathan Eovaldi,543135,9132,9132
PHI,Phillies,9.08876,5.30785,20.3328,20.3328,0.0,0.0,0.0,126.937,512.066,103.268,50.5331,46.4904,14.871,146.59,34.1031,0.529893,5.581,3.29624,1.0822,10.3935,2.41796,4.29844,1.05438,0.286272,0.066599,0.21967309713363647,,0.218611,0.284306,0.74506,3.28636,661.5000000000002,5.208661417322836,614.0,4.834645669291339,2.89865,3.07036,2.73989,0.608005,0.87099,12.0189,2.73989,-0.608005,3.83868,116.12999725341797,26,NL,Zack Wheeler,554430,10310,10310
BAL,Orioles,7.99845,6.74108,24.2479,24.2479,0.0,0.0,0.0,135.181,557.898,115.721,58.9064,54.1939,15.2484,145.841,42.8205,0.525336,5.98032,3.60809,1.17281,9.70972,2.85088,3.40587,1.0152,0.261412,0.0767533,0.18465836346149445,,0.227306,0.288707,0.726236,3.52683,657.9,4.873333333333333,625.0,4.62962962962963,2.88344,2.3684,3.0015,-0.0167746,0.530628,10.1478,3.0015,0.0167746,4.2925,71.7699966430664,2,AL,Kyle Bradish,680694,24586,24586
CIN,Reds,7.34374,7.47117,23.4322,29.4906,0.0,0.379069,0.0,129.6,530.36,109.158,56.1402,51.649,17.266,153.162,40.6407,0.825163,3.42448,3.58673,1.15585,10.6363,2.82226,3.7687,1.19903,0.288789,0.0766285,0.21216094493865967,,0.224469,0.290921,0.745533,3.52348,643.5,4.95,603.0,4.638461538461539,2.87267,2.83313,3.73041,-0.122604,0.611867,9.55471,3.73041,0.122604,4.18418,99.61000061035156,18,NL,Chase Burns,695505,35333,35333
NYM,Mets,11.7051,8.44604,28.1356,28.1356,0.0,0.0,0.0,162.258,671.754,132.71,73.7093,67.8126,21.5827,180.871,59.4857,0.623306,7.38805,3.76138,1.18451,10.0324,3.29951,3.04058,1.19713,0.269252,0.0885528,0.1806992068886757,,0.219398,0.276143,0.731488,3.87134,746.3999999999999,4.607407407407407,688.0,4.246913580246914,2.84568,2.72451,3.27993,0.0143869,0.976454,12.2011,3.27993,-0.0143869,3.69806,57.70000076293945,25,NL,Freddy Peralta,642547,18679,18679
TBR,Rays,9.60404,7.6378,28.2181,28.2181,0.162152,0.0,0.0,151.332,619.147,135.297,66.1702,60.8766,16.8592,138.257,38.474,0.800443,5.00021,3.62046,1.14828,8.22245,2.28813,3.59353,1.00265,0.223303,0.0621404,0.16116276755928993,,0.235025,0.281623,0.716536,3.61803,704.3000000000002,4.6642384105960275,681.0,4.509933774834437,2.77803,2.85725,3.25246,0.701125,0.606617,10.0841,3.25246,-0.701125,4.19118,147.42999267578125,12,AL,Drew Rasmussen,656876,25385,25385
MIL,Brewers,9.91056,7.49357,25.0988,25.0988,0.0,0.0,0.0,144.258,586.829,122.262,65.1381,59.927,20.5244,152.972,39.0503,0.488349,5.72622,3.73874,1.11822,9.54362,2.43627,3.9173,1.28048,0.260675,0.0665445,0.19413044303655624,,0.225553,0.276042,0.725414,3.79508,661.1000000000001,4.590972222222224,618.0,4.291666666666667,2.77206,2.53182,2.27241,0.0503842,0.763695,10.7822,2.27241,-0.0503842,3.98174,122.08000183105469,23,NL,Brandon Woodruff,605540,16162,16162
SDP,Padres,9.94473,8.34746,27.3695,27.3695,0.0,0.0,0.648122,155.638,650.57,136.286,70.0768,64.4706,20.4842,162.471,54.492,1.64885,6.88544,3.72811,1.22578,9.39512,3.15108,2.98155,1.18453,0.249736,0.0837604,0.1659756749868393,,0.23131,0.285059,0.744609,3.9414,695.8000000000001,4.46025641025641,661.0,4.237179487179487,2.74168,2.75821,2.75404,0.0552438,0.783382,11.0637,2.75404,-0.0552438,3.95549,124.87000274658203,29,NL,Michael King,650633,19853,19853
LAA,Angels,9.9385,10.1054,29.702,29.702,0.0,0.233276,0.199025,169.727,726.628,151.157,77.146,70.9744,14.5161,157.257,72.5515,1.3132,9.01355,3.76351,1.31805,8.33875,3.84714,2.16752,0.769737,0.21642,0.0998468,0.11657308787107468,,0.23433,0.288705,0.720613,3.83562,748.9,4.405294117647059,723.0,4.252941176470588,2.73668,2.90443,2.78769,-0.0114102,1.25971,12.9897,2.78769,0.0114102,3.32039,334.8699951171875,1,AL,José Soriano,667755,22100,22100
LAD,Dodgers,9.45237,6.23468,22.3498,22.3498,0.0,0.0,0.0,129.951,537.043,100.846,54.0997,49.7717,13.8138,159.781,54.9958,0.990544,3.04454,3.44704,1.19924,11.0659,3.80884,2.90533,0.956703,0.297519,0.102405,0.19511450082063675,,0.210534,0.284971,0.74535,3.39784,673.1999999999999,5.178461538461538,614.0,4.723076923076923,2.6646,2.77171,2.64464,0.229303,0.723267,10.869,2.64464,-0.229303,4.03564,135.69000244140625,22,NL,Blake Snell,605483,13543,13543
