Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,10.1541,9.44421,28.263,28.263,0.0,0.0,,159.757,669.508,136.663,73.31,68.52,19.1605,178.169,56.9162,0.466286,6.69193,3.86011,1.21171,10.0373,3.20641,3.13038,1.07942,0.26612,0.085012,0.18110793828964233,,0.225554,0.287595,0.721235,3.65826,758.0999999999999,4.738124999999999,717.0,4.48125,3.20465,2.69989,11.5782,169.75,13,AL,MacKenzie Gore,669022,22201,22201
TOR,Blue Jays,11.6777,9.63533,29.324,29.324,0.0,0.0,,181.696,758.596,165.817,89.63,83.98,25.5262,177.14,55.2705,0.624997,3.0712,4.15981,1.2168,8.77431,2.73773,3.20495,1.2644,0.23351,0.072859,0.1606508195400238,,0.236796,0.281942,0.709237,3.97493,775.4,4.26043956043956,752.0,4.131868131868132,3.13901,2.34199,14.9355,121.47000122070312,14,AL,Kevin Gausman,592332,14107,14107
NYM,Mets,11.2149,8.96351,28.69,28.69,0.0,0.0,,166.641,694.261,134.618,75.51,70.73,22.3855,183.207,64.1457,0.435984,7.12718,3.82001,1.19277,9.8947,3.4644,2.85611,1.209,0.263888,0.0923943,0.1714935228228569,,0.216085,0.268889,0.736177,3.96576,767.1999999999998,4.594011976047903,702.0,4.203592814371257,3.11129,2.83879,12.4885,58.310001373291016,25,NL,Freddy Peralta,642547,18679,18679
SDP,Padres,11.4955,8.59125,27.892,27.892,0.0,0.0,,168.953,694.569,142.34,77.34,72.27,25.8081,171.873,49.3657,0.664463,3.44772,3.84977,1.13467,9.15555,2.62967,3.48163,1.37478,0.247453,0.0710738,0.17637906968593597,,0.221798,0.262415,0.735119,4.02413,749.6000000000001,4.435502958579883,695.0,4.112426035502959,3.03532,2.86403,13.345,95.58000183105469,29,NL,Nick Pivetta,601713,15454,15454
LAD,Dodgers,10.1066,5.64066,22.361,22.361,0.0,0.0,,130.014,539.471,104.564,55.67,51.86,13.9909,150.61,51.4435,0.433732,2.8379,3.58992,1.19993,10.4257,3.56109,2.92767,0.968494,0.27918,0.095359,0.18382080644369125,,0.215511,0.28252,0.735502,3.46976,656.8,5.052307692307692,608.0,4.676923076923077,2.93081,2.55166,9.63662,115.38999938964844,22,NL,Blake Snell,605483,13543,13543
LAD,Dodgers,8.90102,5.03188,21.251,21.251,0.0,0.0,,110.155,449.759,86.0008,42.63,39.78,12.358,138.596,37.0014,0.281945,2.95772,3.25015,1.11663,11.3237,3.02313,3.74569,1.00969,0.308156,0.0822695,0.22588646411895752,,0.209861,0.284505,0.760373,3.16546,600.8,5.461818181818181,552.0,5.0181818181818185,2.90545,2.6393,6.70465,1.2200000286102295,22,NL,Shohei Ohtani,660271,19755,19755
TEX,Rangers,10.0615,8.21075,25.094,25.094,0.0,0.0,,154.98,636.783,134.096,69.37,65.09,19.789,151.836,41.4878,0.509362,7.55873,3.77991,1.13295,8.81743,2.40928,3.65978,1.14919,0.238443,0.0651522,0.17329046875238419,,0.228157,0.274704,0.718248,3.78506,709.6,4.578064516129032,672.0,4.335483870967742,2.77733,2.80152,12.4727,148.86000061035156,13,AL,Nathan Eovaldi,543135,9132,9132
NYM,Mets,10.2963,8.00502,25.769,25.769,0.0,0.0,,152.199,639.805,134.727,68.59,64.09,16.2442,149.176,53.3107,0.431236,9.07603,3.78984,1.23547,8.82122,3.15243,2.79823,0.960572,0.233158,0.0833233,0.1498347446322441,,0.233327,0.287581,0.72263,3.79206,689.0,4.532894736842105,664.0,4.368421052631579,2.74314,2.60259,11.6293,92.61000061035156,25,NL,Nolan McLean,690997,33703,33703
LAD,Dodgers,8.97451,6.73934,23.151,33.557,0.0,0.7772,,133.421,547.212,102.512,56.98,53.34,18.6492,157.594,46.2331,1.14375,4.93329,3.59808,1.11485,10.6306,3.11869,3.40869,1.25799,0.287995,0.0844885,0.2035064399242401,,0.206658,0.262233,0.74827,3.74036,649.7,4.884962406015038,585.0,4.398496240601504,2.73054,2.51457,2.84853,122.22000122070312,22,NL,Emmet Sheehan,686218,29839,29839
MIA,Marlins,8.22481,9.91466,26.821,26.821,0.0,0.0,,143.299,594.467,120.538,68.01,63.53,20.1862,148.776,45.7497,0.437622,5.72624,3.99005,1.16042,9.344,2.87334,3.25196,1.26781,0.250268,0.0769592,0.17330904304981232,,0.221989,0.2683,0.712017,3.96763,639.6,4.472727272727273,597.0,4.174825174825175,2.7165,2.12161,9.65242,84.38999938964844,20,NL,Eury Pérez,691587,27768,27768
