Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,65.0,242.415,283.526,68.8877,38.8468,14.5372,0.275611,15.2281,43.7062,45.2295,36.6207,2.46807,57.6858,1.99256,2.06672,0.43104,5.44441,4.6954,1.84504,0.284173,0.379735,0.534871,0.914606,0.391042,0.129162,0.203459,0.63483,0.250698,3.75151,0.312761,,,50.8842,17.0505,-0.57,-0.231952,-0.231952,1.97417,15.930672198534012,-5.647478401660919,147.133,449.8,6.92,449.8,6.92,47.900001525878906,0.03478261,OF,/players/bryce-harper/11579/stats/batting,OF,26.0,26.0,NL,Bryce Harper,547180,11579,11579
NYY,Yankees,59.0,224.902,254.206,54.7256,31.2346,8.61982,0.962728,13.9085,40.1809,34.6274,25.0652,0.694245,68.7028,2.02636,1.75779,0.454696,3.44704,14.374,3.39861,0.24333,0.32243,0.475745,0.798176,0.344182,0.0986019,0.270264,0.364835,0.232415,6.64598,0.283356,,,35.9556,5.62065,2.0,1.1532,1.1532,1.95682,7.520631909370422,2.7430466413497925,121.287,345.6,5.857627118,345.6,5.857627118,19.520000457763672,0.00452489,2B/OF,/players/jazz-chisholm-jr/20454/stats/batting,2B/OF,9.0,9.0,AL,Jazz Chisholm Jr.,665862,20454,20454
MIN,Twins,47.0,177.323,197.0,48.2257,23.0133,8.57791,1.86991,14.7646,33.7891,35.1321,15.269,0.607495,50.5355,2.92403,1.25408,0.230305,1.974,4.2427,1.04773,0.271966,0.337545,0.591223,0.928768,0.391469,0.0775075,0.256525,0.302144,0.319257,6.58707,0.295393,,,35.4238,11.9154,0.12,0.194299,0.194299,1.95248,12.246095150709152,0.01638445258140564,151.989,329.1,7.002127659,329.1,7.002127659,73.4800033569336,0.135,OF,/players/byron-buxton/14161/stats/batting,OF,8.0,8.0,AL,Byron Buxton,621439,14161,14161
SDP,Padres,64.0,250.965,281.025,66.3916,39.6256,11.642,0.408098,14.7159,38.6929,43.6742,26.0019,1.64864,54.6716,0.928833,2.52603,0.409496,4.89759,3.36803,0.922192,0.264545,0.332793,0.490098,0.822891,0.352701,0.0925253,0.194544,0.475601,0.225553,3.62052,0.280689,,,41.6918,8.15656,1.14,-0.0600464,-0.0600464,1.94242,9.015873715281487,1.0349303409457207,126.702,378.3,5.9109375,378.3,5.9109375,37.52000045776367,0.09126984,3B,/players/manny-machado/11493/stats/batting,3B,29.0,29.0,NL,Manny Machado,592518,11493,11493
MIL,Brewers,64.0,222.215,253.781,60.8797,41.345,10.3686,0.51768,8.64842,32.026,34.1377,27.3571,1.42181,43.3223,1.90868,1.91508,0.385388,6.20942,2.13463,0.652009,0.273968,0.35575,0.442046,0.797796,0.348664,0.107798,0.170707,0.631478,0.168077,3.39102,0.30339,,,36.8185,6.53428,1.03,-0.217804,-0.217804,1.9421,6.240240901708603,4.693878889083862,121.04,326.9,5.1078125,326.9,5.1078125,56.560001373291016,0.1375,C,/players/william-contreras/20503/stats/batting,C,23.0,23.0,NL,William Contreras,661388,20503,20503
DET,Tigers,56.0,204.956,224.578,53.3071,31.952,9.60624,1.53207,10.2168,30.0397,31.8342,14.1243,0.344531,51.7011,3.58187,1.54278,0.299359,3.44095,0.615998,0.224168,0.260091,0.316734,0.471458,0.788192,0.339853,0.0628928,0.230215,0.273191,0.211367,4.03535,0.298036,,,30.976,4.17665,3.96,-0.236538,-0.236538,1.92377,4.231220930814743,6.763372421264648,116.906,282.1,5.0375,282.1,5.0375,254.6199951171875,0.10096154,C,/players/dillon-dingler/27464/stats/batting,C,6.0,6.0,AL,Dillon Dingler,693307,27464,27464
TEX,Rangers,60.0,223.531,255.024,58.2323,33.7182,11.2648,1.32448,11.9248,38.1468,34.147,27.2698,0.795591,57.3227,2.43124,1.50519,0.286575,3.34473,7.66808,1.89794,0.260511,0.345192,0.482798,0.82799,0.358072,0.10693,0.224774,0.475724,0.222288,5.83236,0.297245,,,38.946,8.51342,2.57,0.407544,0.407544,1.90424,9.754290133714676,-0.039427757263183594,131.146,347.8,5.796666666,347.8,5.796666666,37.75,0.02,OF,/players/wyatt-langford/33333/stats/batting,OF,13.0,13.0,AL,Wyatt Langford,694671,33333,33333
DET,Tigers,65.0,250.159,283.995,67.1629,40.082,12.7603,0.731589,13.5891,40.5298,41.221,29.3109,0.925145,76.3738,2.26357,2.05254,0.209113,4.96021,1.52447,0.461482,0.268481,0.347929,0.488304,0.836233,0.361111,0.103209,0.268927,0.383782,0.219823,3.53886,0.330196,,,44.0706,10.1809,1.37,-0.269142,-0.269142,1.88325,10.279907703399658,-1.8064402341842651,131.567,397.0,6.107692307,397.0,6.107692307,78.4800033569336,0.11923077,OF,/players/riley-greene/25976/stats/batting,OF,6.0,6.0,AL,Riley Greene,682985,25976,25976
LAA,Angels,54.0,193.687,232.211,49.4151,26.428,8.10269,1.16552,13.7188,34.6895,35.3345,34.0141,3.0555,63.3386,2.86386,1.44325,0.20254,2.90504,2.58867,0.726004,0.255128,0.371939,0.521486,0.893425,0.381387,0.146479,0.272763,0.537021,0.266358,4.45394,0.302323,,,39.8554,12.1451,-1.65,-0.109342,-0.109342,1.86615,12.080476343631744,-1.9277777969837189,144.611,354.8,6.57037037,354.8,6.57037037,178.44000244140625,0.5776699,OF,/players/mike-trout/10155/stats/batting,OF,1.0,1.0,AL,Mike Trout,545361,10155,10155
COL,Rockies,59.0,217.438,238.559,58.1761,29.2202,11.3253,1.23166,16.3989,36.6311,44.6161,16.7025,0.660981,65.7021,2.39979,1.79713,0.221691,3.16515,2.11368,0.58171,0.267553,0.324239,0.557223,0.881462,0.373106,0.0700141,0.275412,0.254215,0.28967,4.67019,0.304645,,,39.3418,10.874,2.07,-0.0763867,-0.0763867,1.86387,6.61189678311348,4.0444415807724,123.18,353.8,5.996610169,353.8,5.996610169,67.36000061035156,0.27896996,C,/players/hunter-goodman/29715/stats/batting,C,19.0,19.0,NL,Hunter Goodman,696100,29715,29715
