Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
CIN,Reds,5,2,13,17,0,0,,71.0,297,56,28,25,9,90,24,,3,3.19954,1.12136,11.2862,3.021,3.73592,1.14222,0.302208,0.0808925,0.2213151454925537,,0.2085,0.275944,0.776821,3.39146,368.0999999999999,5.18450704225352,337.0,4.746478873239437,1.65816,1.78216,8,109.72000122070312,/players/chase-burns/35333/stats/pitching,P,18.0,18.0,NL,Chase Burns,695505,35333,35333
TBR,Rays,5,5,15,15,0,0,,87.0,352,72,37,34,9,86,31,,4,3.53032,1.1795,8.94179,3.18187,2.81023,0.970328,0.244427,0.0869773,0.15744923055171967,,0.225316,0.28004,0.730213,3.71743,412.90000000000003,4.745977011494253,385.0,4.425287356321839,1.65416,1.87452,9,182.99000549316406,/players/shane-mcclanahan/21483/stats/pitching,P,12.0,12.0,AL,Shane McClanahan,663556,21483,21483
BOS,Red Sox,4,2,10,10,0,0,,59.0,238,49,22,20,6,71,16,,2,3.06384,1.09363,10.7955,2.38209,4.53196,0.927895,0.296862,0.0655042,0.23135823756456375,,0.222024,0.29858,0.760367,2.96821,323.4,5.48135593220339,305.0,5.169491525423729,1.61874,1.70868,6,12.239999771118164,/players/garrett-crochet/27463/stats/pitching,P,3.0,3.0,AL,Garrett Crochet,676979,27463,27463
SEA,Mariners,6,5,15,15,0,0,,83.0,343,74,33,30,10,80,18,,3,3.27003,1.09836,8.67521,1.90695,4.54927,1.03038,0.234538,0.0515552,0.1829831637442112,,0.229847,0.277853,0.747822,3.42554,395.80000000000007,4.768674698795182,382.0,4.602409638554217,1.61819,1.73752,9,64.58000183105469,/players/george-kirby/25436/stats/pitching,P,11.0,11.0,AL,George Kirby,669923,25436,25436
TOR,Blue Jays,6,5,17,17,0,0,,100.0,418,93,48,44,14,96,29,,4,3.97469,1.22126,8.61511,2.62327,3.28411,1.23787,0.228331,0.069526,0.15880507230758667,,0.241103,0.286878,0.718285,3.98732,418.99999999999994,4.1899999999999995,411.0,4.11,1.59531,1.47729,9,112.94999694824219,/players/kevin-gausman/14107/stats/pitching,P,14.0,14.0,AL,Kevin Gausman,592332,14107,14107
LAD,Dodgers,5,3,13,13,0,0,,64.0,258,50,24,22,7,73,20,,3,3.06207,1.10151,10.3237,2.86564,3.60258,0.964712,0.282508,0.0784181,0.20408941805362701,,0.211783,0.276627,0.767155,3.29323,334.5,5.2265625,306.0,4.78125,1.58549,1.66674,8,1.2699999809265137,/players/shohei-ohtani/19755/stats/batting,DH,22.0,22.0,NL,Shohei Ohtani,660271,19755,19755
LAA,Angels,6,3,15,21,0,0,,90.0,381,78,40,37,13,102,30,,4,3.65132,1.1939,10.1693,2.99078,3.40022,1.24809,0.267274,0.0786049,0.18866929411888123,,0.223836,0.280135,0.750971,3.78412,405.3,4.503333333333334,383.0,4.2555555555555555,1.58163,1.71979,9,350.4599914550781,/players/reid-detmers/27468/stats/pitching,P,1.0,1.0,AL,Reid Detmers,672282,27468,27468
PHI,Phillies,6,5,16,16,0,0,,94.0,392,87,46,42,13,91,27,,4,4.0283,1.21467,8.75255,2.61904,3.3419,1.29357,0.232781,0.0696552,0.16312532871961594,,0.240386,0.286089,0.716177,4.03541,398.50000000000006,4.239361702127661,390.0,4.148936170212766,1.50246,1.37876,8,205.52999877929688,/players/aaron-nola/16149/stats/pitching,P,26.0,26.0,NL,Aaron Nola,605400,16149,16149
MIA,Marlins,5,5,16,16,0,0,,97.0,407,95,48,44,11,81,29,,4,4.11111,1.27751,7.57157,2.67522,2.83026,1.05774,0.200205,0.0707372,0.12946750968694687,,0.253944,0.297358,0.699564,3.97715,398.5,4.108247422680412,405.0,4.175257731958763,1.49563,1.32803,8,144.57000732421875,/players/sandy-alcantara/18684/stats/pitching,P,20.0,20.0,NL,Sandy Alcantara,645261,18684,18684
NYM,Mets,6,5,15,15,0,0,,85.0,367,74,36,33,9,90,35,,4,3.51416,1.27524,9.543,3.70873,2.57312,0.936748,0.246392,0.0957559,0.15063568204641342,,0.224664,0.283492,0.751441,3.72268,388.9,4.575294117647059,371.0,4.364705882352941,1.49099,1.60649,9,87.29000091552734,/players/nolan-mclean/33703/stats/pitching,P,25.0,25.0,NL,Nolan McLean,690997,33703,33703
