Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
BAL,Orioles,9.86558,31.272,33.5712,6.85823,3.97993,1.35069,0.0354907,1.49212,3.49767,4.38968,1.9228,0.0272696,9.79352,0.253861,0.105733,0.0168178,0.497866,0.0440348,0.0282878,0.219309,0.269261,0.407914,0.677175,0.292099,0.0572753,0.291724,0.196334,0.188604,2.02339,0.267076,-0.00154547,,3.39551,-0.571185,-0.00106356,-0.0432412,-0.0447867,-0.0265403,-0.5510757751762867,-0.86379412363749,87.2044,26.5,2.65,26.5,2.65,3.44946,-0.0681148,1.98212,3.44946,0.0681148,2.35718,748.9099731445312,0.01408451,OF,/players/jhonkensy-noel/24257/stats/batting,2,AL,Jhonkensy Noel,678877,24257,24257
PIT,Pirates,14.5351,48.2563,52.7478,11.0101,8.10618,2.07399,0.147993,0.681962,4.66529,4.3185,2.81244,0.0262208,11.184,0.47457,0.328105,0.87645,0.8783,0.352862,0.15671,0.22816,0.275627,0.319668,0.595295,0.263144,0.0533186,0.212029,0.251469,0.0915086,3.53165,0.281281,0.00141672,,4.09506,-2.13751,0.110989,-0.0686442,-0.0672275,-0.0266402,-2.3201145008206367,0.3048006743192673,63.9637,37.8,2.52,37.8,2.52,1.05455,1.17012,1.95991,1.05455,-1.17012,2.38679,999.0,0.0,SS,/players/alika-williams/27604/stats/batting,27,NL,Alika Williams,675961,27604,27604
WSN,Nationals,8.14403,24.3249,26.8517,5.07534,4.10382,0.764467,0.0397577,0.167298,2.47168,1.9521,2.21564,0.0211521,7.35716,0.0990654,0.0668805,0.145167,0.353298,0.443509,0.251953,0.208648,0.276713,0.263977,0.54069,0.246246,0.082514,0.273993,0.301154,0.0553291,3.94537,0.290979,0.053151,,1.71622,-1.45652,0.0516367,-0.0567108,-0.0035598,-0.0267926,-1.4582278500311077,0.3029957376420498,54.2914,12.9,1.6125,12.9,1.6125,3.24946,-0.5764,2.04434,3.24946,0.5764,2.27421,999.0,0.0,2B/SS,/players/tsung-che-cheng/28344/stats/batting,24,NL,Tsung-Che Cheng,691907,28344,28344
MIL,Brewers,19.6092,59.4243,65.4098,13.4571,9.77329,2.71549,0.11999,0.848338,7.07279,5.11369,4.83871,0.0745626,16.9729,0.293358,0.233409,0.620049,0.864017,3.64788,0.507032,0.226458,0.286915,0.319021,0.605937,0.269618,0.0739753,0.259486,0.285084,0.092563,6.05034,0.301383,-0.166237,,5.42185,-2.30681,0.102982,0.42403,0.257793,-0.0276642,-1.987577646970749,-0.4590102434158325,71.0365,51.7,2.585,51.7,2.585,2.66851,-0.55268,1.96272,2.66851,0.55268,2.38304,747.4000244140625,0.0,OF,/players/brandon-lockridge/21496/stats/batting,23,NL,Brandon Lockridge,663604,21496,21496
CHW,White Sox,11.814,40.0712,44.0672,8.86252,6.24081,1.90418,0.102152,0.61538,4.35661,4.11895,3.65697,0.062812,10.6612,0.174454,0.128186,0.0364488,0.512045,0.401705,0.166373,0.221169,0.288297,0.319859,0.608156,0.271056,0.0829862,0.241931,0.343015,0.09869,3.56884,0.285144,-0.00145435,,3.70421,-1.50268,0.0898264,-0.0538706,-0.055325,-0.0299849,-1.5704662017524242,-0.21403034776449203,70.9094,37.6,3.133333333,37.6,3.133333333,3.10896,-0.403483,1.96693,3.10896,0.403483,2.37743,999.0,0.0,OF,/players/tristan-peters/30063/stats/batting,4,AL,Tristan Peters,671976,30063,30063
COL,Rockies,9.71741,28.5751,31.5094,7.154,6.26296,0.763937,0.0937585,0.0333504,3.05369,2.19316,2.52878,0.0234279,4.64823,0.154573,0.0733353,0.17764,0.740805,0.346889,0.161909,0.250358,0.313974,0.287156,0.60113,0.272881,0.0802548,0.147519,0.54403,0.036798,3.81832,0.297105,0.0636549,,2.69531,-1.02777,0.0196175,-0.0558329,0.00782202,-0.0317674,-1.52839710470289,0.16957753151655197,58.8643,22.1,2.21,22.1,2.21,3.42163,-0.43764,2.06585,3.42163,0.43764,2.24554,999.0,0.0,2B/SS,/players/nicky-lopez/19339/stats/batting,19,NL,Nicky Lopez,670032,19339,19339
LAD,Dodgers,8.315,18.9402,21.1036,3.72247,3.0558,0.453251,0.0489527,0.16446,2.63394,1.86462,1.89577,0.0213081,5.96978,0.088645,0.0495979,0.129428,0.234448,0.487411,0.145807,0.196538,0.272091,0.251688,0.523778,0.240384,0.0898315,0.28288,0.317561,0.0551493,5.35329,0.276769,0.0285352,,1.2484,-1.24516,0.0628151,0.00463847,0.0331737,-0.0319811,-1.2179518826305866,0.19113298505544662,49.8398,9.4,1.175,9.4,1.175,2.9423,-0.270662,2.04396,2.9423,0.270662,2.27472,999.0,0.0,OF,/players/michael-siani/22557/stats/batting,22,NL,Michael Siani,672279,22557,22557
WSN,Nationals,6.93059,19.0229,20.2091,4.36048,3.58985,0.582688,0.0233812,0.164559,2.16168,1.98003,1.03797,0.043536,4.27155,0.0676644,0.0519112,0.0285997,0.342024,0.294125,0.106884,0.229222,0.270862,0.288263,0.559125,0.248599,0.0513617,0.211368,0.242996,0.0590407,4.16403,0.286632,-0.00304444,,1.33027,-1.05759,-0.0278183,-0.0156566,-0.018701,-0.0330882,-1.0748993530869484,0.07913525030016899,55.9034,9.3,1.328571428,9.3,1.328571428,2.98575,-0.35032,2.07046,2.98575,0.35032,2.23938,999.0,0.0,3B,/players/trey-lipscomb/31567/stats/batting,24,NL,Trey Lipscomb,702358,31567,31567
KCR,Royals,16.1521,48.0786,52.5729,10.6506,7.08695,2.28962,0.404169,0.869876,5.49144,4.55803,3.56854,0.0142323,15.7392,0.615371,0.24947,0.0609167,0.669362,1.23567,0.362952,0.221525,0.282498,0.340238,0.622736,0.274962,0.0678779,0.299378,0.22673,0.118714,5.80943,0.308355,-0.0114748,,4.58592,-1.62598,0.0576778,0.0241854,0.0127105,-0.0379247,-1.628139398060739,-0.5218297131359577,73.5928,45.7,2.85625,45.7,2.85625,2.49053,1.64425,1.9476,2.49053,-1.64425,2.4032,999.0,0.0,OF,/players/drew-waters/20505/stats/batting,7,AL,Drew Waters,671221,20505,20505
CHC,Cubs,19.9581,29.9371,32.9553,6.09429,5.12602,0.728107,0.0510868,0.18907,3.95381,2.20356,2.74404,0.0,10.8652,0.15715,0.0768438,0.0401485,0.406146,3.15551,0.28003,0.20357,0.273293,0.250251,0.523544,0.240373,0.0832656,0.329694,0.252554,0.0466809,7.30099,0.311462,-0.387931,,1.9492,-1.94472,0.672528,0.463432,0.075501,-0.0407878,-1.8785411193966866,0.3645331561565399,49.8324,21.2,1.06,21.2,1.06,2.56717,-0.352745,2.059,2.56717,0.352745,2.25467,999.0,0.0,OF,/players/justin-dean/25005/stats/batting,17,NL,Justin Dean,681909,25005,25005
