Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
,,10.8998,9.3008,29.16,29.16,0.0,0.0,,168.759,706.697,161.856,73.1221,66.5656,17.7197,154.268,47.8109,0.7936,5.5391,3.54997,1.2424,8.2272,2.54978,3.22664,0.945,0.218295,0.067654,0.15064093470573425,0.481,0.247734,0.299436,0.738642,3.62026,754.0,4.461538461538462,757.0,4.479289940828402,3.26446,3.28603,16.0535,0.416912,0.82824,0.927253,5.12,4.62,4.29,4.03,3.79,3.57,3.35,3.11,2.81,4.45,4.24,4.1,3.98,3.88,3.77,3.67,3.54,3.38,168.39999389648438,-1.0,,Ranger Suárez,624133.0,17277,17277
MIN,Twins,11.2027,10.3566,30.78,30.78,0.0,0.0,,181.85,758.34,172.872,83.3442,77.1433,22.9939,181.111,46.9162,0.797,7.9186,3.81793,1.20862,8.96345,2.32195,3.86031,1.138,0.238826,0.061867,0.17695888876914978,0.421317,0.245729,0.300116,0.727326,3.69165,811.1000000000001,4.456593406593408,808.0,4.43956043956044,3.23966,3.00718,16.6424,0.446539,0.817516,0.93152,5.36,4.85,4.52,4.26,4.02,3.8,3.58,3.34,3.02,4.71,4.49,4.34,4.22,4.1,3.99,3.88,3.75,3.57,139.0,8.0,AL,Pablo López,641154.0,17085,17085
SEA,Mariners,11.0135,9.0459,29.16,29.16,0.0,0.0,,166.486,677.875,144.083,67.9798,62.7562,20.9773,182.016,38.6965,0.928,5.8914,3.39251,1.09787,9.8395,2.09188,4.70367,1.134,0.268509,0.057085,0.2114240825176239,0.398605,0.227517,0.286098,0.748314,3.39003,824.7000000000002,4.968072289156628,786.0,4.734939759036145,3.16609,2.89902,16.1891,0.398613,0.811513,0.904127,4.87,4.38,4.05,3.79,3.57,3.36,3.14,2.91,2.62,4.2,4.0,3.87,3.75,3.65,3.55,3.45,3.34,3.18,38.650001525878906,11.0,AL,Logan Gilbert,669302.0,22250,22250
SEA,Mariners,11.4739,9.8554,30.78,30.78,0.0,0.0,,178.218,732.203,165.3,75.4406,69.3257,22.0991,174.007,33.7406,0.4767,7.2451,3.50094,1.11684,8.78732,1.7039,5.15719,1.116,0.237648,0.0460809,0.1915671043097973,0.42394,0.239144,0.28923,0.735269,3.48432,842.5999999999999,4.7337078651685385,829.0,4.657303370786517,3.16056,2.86179,17.1252,0.41131,0.797547,0.897361,4.99,4.51,4.19,3.93,3.71,3.5,3.28,3.05,2.75,4.35,4.15,4.01,3.89,3.79,3.69,3.58,3.46,3.3,64.30000305175781,11.0,AL,George Kirby,669923.0,25436,25436
BAL,Orioles,10.4947,8.4898,27.54,27.54,0.0,0.0,,157.977,662.654,145.615,70.6494,64.9682,18.8694,166.635,49.3127,0.4009,7.0679,3.70127,1.2339,9.49327,2.80937,3.37915,1.075,0.251466,0.074417,0.1770489513874054,0.452588,0.24018,0.301223,0.73751,3.64898,721.9,4.568987341772152,709.0,4.487341772151899,3.12597,2.5456,14.4745,0.504444,0.867971,1.00391,5.35,4.8,4.44,4.16,3.91,3.67,3.43,3.18,2.85,4.69,4.44,4.26,4.12,3.99,3.87,3.74,3.6,3.4,71.5999984741211,2.0,AL,Kyle Bradish,680694.0,24586,24586
LAD,Dodgers,10.2783,7.5163,25.92,25.92,0.0,0.0,,147.787,612.461,125.139,64.1152,59.0421,17.3567,171.984,54.226,0.3405,4.2101,3.59558,1.21368,10.4736,3.30228,3.17162,1.057,0.280809,0.0885379,0.19227100908756256,0.447895,0.225873,0.295551,0.743233,3.52067,731.1000000000001,4.939864864864866,689.0,4.655405405405405,3.06808,2.99611,13.7786,0.464873,0.885432,1.00005,5.22,4.68,4.32,4.03,3.78,3.55,3.31,3.06,2.74,4.51,4.28,4.12,3.99,3.88,3.76,3.64,3.51,3.33,111.75,22.0,NL,Tyler Glasnow,607192.0,14374,14374
SDP,Padres,11.0707,10.1321,30.78,30.78,0.0,0.0,,175.764,741.932,158.12,80.0815,74.0783,22.986,182.293,60.6641,0.9526,7.2917,3.79319,1.24476,9.33432,3.10631,3.00495,1.177,0.2457,0.081765,0.16393496096134186,0.401975,0.234608,0.288319,0.743301,3.92085,768.7,4.367613636363637,741.0,4.2102272727272725,3.06203,2.79623,15.7364,0.479068,0.829448,0.957857,5.37,4.85,4.51,4.23,3.99,3.77,3.54,3.29,2.97,4.73,4.49,4.33,4.19,4.07,3.95,3.83,3.69,3.51,135.25,29.0,NL,Michael King,650633.0,19853,19853
PHI,Phillies,8.6975,6.0847,21.06,21.06,0.0,0.0,,125.797,510.955,105.354,48.7236,44.7534,14.5086,145.136,31.4053,0.3991,5.5801,3.20183,1.08714,10.3836,2.24685,4.6214,1.038,0.284049,0.0614639,0.22258516773581505,0.415958,0.222279,0.289017,0.756013,3.20903,653.9000000000001,5.189682539682541,614.0,4.873015873015873,3.01551,3.24388,13.0375,0.390477,0.910059,0.990292,4.79,4.24,3.88,3.6,3.35,3.12,2.9,2.65,2.35,4.0,3.81,3.67,3.56,3.46,3.37,3.27,3.15,3.0,146.14999389648438,26.0,NL,Zack Wheeler,554430.0,10310,10310
LAA,Angels,10.6704,10.6421,30.78,30.78,0.0,0.0,,177.273,758.548,168.476,79.6941,71.9262,14.9303,164.634,75.3488,0.6941,8.6209,3.65164,1.37542,8.35833,3.8254,2.18495,0.758,0.217038,0.0993329,0.11770500242710114,0.571798,0.24975,0.310184,0.736268,3.79364,766.5,4.330508474576271,768.0,4.338983050847458,3.01245,3.12163,16.4612,0.463383,0.821214,0.942929,5.29,4.78,4.45,4.18,3.94,3.72,3.49,3.25,2.93,4.65,4.43,4.27,4.14,4.02,3.91,3.79,3.65,3.47,340.70001220703125,1.0,AL,José Soriano,667755.0,22100,22100
ATL,Braves,11.1162,8.3563,27.54,27.54,0.0,0.0,,166.671,689.008,159.165,73.4925,67.5507,20.0931,162.635,38.2813,0.9088,6.3106,3.64764,1.18465,8.78205,2.06714,4.24842,1.085,0.236042,0.05556,0.18048208951950073,0.453458,0.246991,0.301224,0.732086,3.55342,770.4,4.613173652694611,769.0,4.604790419161676,2.9811,3.29261,16.0509,0.489532,0.839872,0.972125,5.25,4.72,4.37,4.1,3.85,3.63,3.4,3.15,2.83,4.61,4.37,4.2,4.06,3.94,3.82,3.69,3.55,3.36,78.80000305175781,16.0,NL,Spencer Schwellenbach,680885.0,31846,31846
