Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,11.5143,8.00284,28.0,28.0,0.0,0.0,,160.496,672.389,132.537,73.15,68.12,19.0692,190.057,65.0638,0.539546,4.31663,3.81991,1.23119,10.6576,3.64853,2.92108,1.06933,0.282659,0.0967652,0.18589375913143158,,0.219793,0.288075,0.728191,3.60821,777.5,4.859375,726.0,4.5375,3.32044,2.69989,11.8238,63.70000076293945,22,NL,Blake Snell,605483,13543,13543
WSN,Nationals,9.83493,12.1375,31.0,31.0,0.0,0.0,,183.458,783.47,168.407,92.13,85.82,23.1875,201.56,69.9803,0.487052,6.47085,4.21012,1.29941,9.88804,3.43306,2.88024,1.13752,0.257266,0.089321,0.16794481128454208,,0.238194,0.301116,0.710247,3.83105,810.5000000000002,4.428961748633881,792.0,4.327868852459017,3.28918,2.20036,14.3552,194.6999969482422,24,NL,MacKenzie Gore,669022,22201,22201
MIN,Twins,10.369,10.8003,31.0,31.0,0.0,0.0,,170.159,711.773,160.878,81.43,76.19,21.665,165.183,43.9278,0.461087,7.27413,4.02982,1.20362,8.73678,2.32342,3.76032,1.1459,0.232072,0.0617161,0.17035596817731857,,0.243544,0.293871,0.707127,3.75154,745.8000000000001,4.387058823529412,741.0,4.358823529411764,3.27168,2.50555,11.958,139.14999389648438,8,AL,Pablo López,641154,17085,17085
PHI,Phillies,9.03732,6.15391,21.0,21.0,0.0,0.0,,126.966,515.525,100.638,50.5,47.12,15.2274,147.953,36.4222,0.312421,5.11533,3.34011,1.0795,10.4877,2.58179,4.06217,1.0794,0.286995,0.0706507,0.21634456515312195,,0.212323,0.274803,0.747874,3.34513,665.7000000000002,5.241732283464568,613.0,4.826771653543307,3.18114,3.01788,9.75729,146.35000610351562,26,NL,Zack Wheeler,554430,10310,10310
SDP,Padres,11.0217,10.2808,31.0,31.0,0.0,0.0,,172.67,727.039,154.23,81.51,75.97,21.8528,171.164,59.3398,0.703621,7.62923,3.95975,1.23687,8.92148,3.09294,2.88446,1.13902,0.235426,0.0816185,0.15380705893039703,,0.233657,0.28343,0.721733,3.96137,750.1999999999999,4.336416184971098,720.0,4.161849710982659,3.11252,2.5948,12.3355,136.1999969482422,29,NL,Michael King,650633,19853,19853
ATL,Braves,10.1943,9.1963,28.0,28.0,0.0,0.0,,158.928,670.63,143.073,78.93,73.99,21.8106,183.45,52.6925,0.531174,6.39113,4.19001,1.23179,10.3886,2.98394,3.48151,1.23512,0.273548,0.0785716,0.19497650116682053,,0.233953,0.298466,0.707106,3.7259,723.2,4.548427672955975,698.0,4.389937106918239,3.09691,2.00755,11.7977,102.05000305175781,16,NL,Spencer Strider,675911,27498,27498
BOS,Red Sox,10.4724,10.3814,31.0,31.0,0.0,0.0,,165.757,689.335,151.833,79.31,73.67,23.2744,168.714,44.8223,0.417495,5.92432,4.00001,1.18641,9.16056,2.43369,3.76407,1.26371,0.244749,0.0650225,0.17972663789987564,,0.237764,0.287862,0.71521,3.84327,735.3,4.429518072289157,716.0,4.313253012048193,3.05936,2.45632,11.1858,112.8499984741211,3,AL,Sonny Gray,543243,12768,12768
CLE,Guardians,10.5254,11.374,31.0,31.0,0.0,0.0,,181.784,758.177,165.081,87.29,81.4,24.7181,162.296,52.0972,0.53741,7.60559,4.03006,1.1947,8.03518,2.5793,3.11526,1.22377,0.214061,0.0687138,0.14534737914800644,,0.236345,0.274435,0.711431,4.1025,754.3,4.144505494505494,729.0,4.0054945054945055,3.04717,2.65323,13.9398,176.35000610351562,5,AL,Tanner Bibee,676440,30134,30134
LAD,Dodgers,10.0026,6.13785,23.0,23.0,0.0,0.0,,132.618,547.488,105.48,54.77,51.28,15.6581,157.129,47.0587,0.342884,5.70564,3.48007,1.15021,10.6634,3.19359,3.339,1.06262,0.287,0.0859538,0.2010459452867508,,0.21321,0.279005,0.748513,3.49399,669.4000000000001,5.033082706766918,612.0,4.601503759398496,3.04316,2.86186,9.66362,1.0499999523162842,22,NL,Shohei Ohtani,660271,19755,19755
TEX,Rangers,10.7591,9.54476,29.0,29.0,0.0,0.0,,166.808,686.256,147.517,75.33,70.62,21.7739,160.902,43.6031,0.539011,6.46976,3.81025,1.14575,8.68134,2.35257,3.69015,1.17479,0.234463,0.0635376,0.17092571407556534,,0.231879,0.277269,0.72082,3.80342,752.3999999999999,4.505389221556886,721.0,4.317365269461078,3.00383,2.94575,12.3382,144.85000610351562,13,AL,Nathan Eovaldi,543135,9132,9132
MIA,Marlins,9.16628,9.93667,28.0,28.0,0.0,0.0,,152.376,625.828,122.849,68.33,63.66,21.6171,167.044,48.8235,0.458118,5.4276,3.76004,1.12663,9.86638,2.88373,3.42139,1.2768,0.266917,0.0780142,0.1889030858874321,,0.214929,0.26437,0.730807,3.85497,706.3999999999999,4.64736842105263,646.0,4.25,2.98893,2.70822,10.4003,83.1500015258789,20,NL,Eury Pérez,691587,27768,27768
SDP,Padres,11.4712,10.8342,32.0,32.0,0.0,0.0,,183.392,761.318,160.974,89.47,83.75,30.0425,190.738,52.9512,0.709571,5.4559,4.11005,1.16649,9.3605,2.59859,3.60214,1.47434,0.250536,0.069552,0.18098434805870056,,0.229011,0.271569,0.724143,4.14008,774.6,4.232786885245901,733.0,4.005464480874317,2.92416,2.50925,13.7235,88.0999984741211,29,NL,Nick Pivetta,601713,15454,15454
DET,Tigers,10.0285,10.1861,29.0,29.0,0.0,0.0,,165.909,696.656,148.792,80.73,75.4,24.4367,182.501,51.8223,0.512949,7.67742,4.09019,1.20918,9.90006,2.81118,3.52167,1.32561,0.261967,0.0743872,0.18758001178503036,,0.233525,0.289052,0.720446,3.92578,731.8000000000001,4.408433734939759,704.0,4.240963855421687,2.88045,2.24841,12.374,214.5,6,AL,Jack Flaherty,656427,17479,17479
CHC,Cubs,10.5817,9.13311,29.0,29.0,0.0,0.0,,158.601,657.567,140.297,73.42,68.55,21.0932,142.679,44.4572,0.43072,6.90794,3.88995,1.1649,8.09648,2.52278,3.20935,1.19696,0.21698,0.0676086,0.14937134087085724,,0.231436,0.26943,0.71725,4.03645,687.3000000000002,4.322641509433963,655.0,4.119496855345912,2.86548,2.63393,10.9931,226.64999389648438,17,NL,Matthew Boyd,571510,15440,15440
BAL,Orioles,9.59077,8.4905,28.0,28.0,0.0,0.0,,139.104,577.974,117.252,60.03,56.26,16.657,153.709,47.3543,0.41902,5.98911,3.64001,1.18333,9.94493,3.06382,3.24593,1.0777,0.265945,0.0819317,0.18401284515857697,,0.223494,0.283954,0.740171,3.63227,664.3000000000002,4.7791366906474835,623.0,4.482014388489208,2.81313,2.70949,8.05943,71.9000015258789,2,AL,Kyle Bradish,680694,24586,24586
SEA,Mariners,10.9431,10.8548,31.0,31.0,0.0,0.0,,180.792,755.43,166.403,90.36,84.37,26.6373,162.809,51.5919,0.665898,6.65672,4.20002,1.20578,8.1048,2.56829,3.15572,1.32603,0.215519,0.0682947,0.14722397923469543,,0.238679,0.275273,0.706325,4.216,724.7000000000002,4.003867403314918,703.0,3.883977900552486,2.78735,2.27822,13.8934,163.64999389648438,11,AL,Luis Castillo,622491,15689,15689
MIA,Marlins,10.5328,11.5045,31.0,31.0,0.0,0.0,,184.295,773.787,175.042,90.01,83.96,21.1529,141.185,54.2917,0.515492,7.17591,4.10017,1.24438,6.89473,2.65132,2.60049,1.033,0.18246,0.0701636,0.11229615658521652,,0.245735,0.279808,0.697597,4.09566,747.3000000000002,4.061413043478262,746.0,4.054347826086956,2.7828,2.46981,14.4185,153.0500030517578,20,NL,Sandy Alcantara,645261,18684,18684
NYM,Mets,10.8215,10.9233,31.0,31.0,0.0,0.0,,180.11,777.605,181.192,91.37,85.45,18.5695,155.522,66.158,0.61594,8.11042,4.26989,1.37333,7.77135,3.30588,2.35077,0.927906,0.200001,0.0850792,0.11492219567298889,,0.257618,0.307273,0.704667,3.98553,717.6999999999999,3.987222222222222,743.0,4.127777777777778,2.75604,2.1124,13.8277,362.1499938964844,25,NL,David Peterson,656849,20302,20302
