Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TEX,Rangers,142.464,532.115,612.838,132.946,79.1958,28.1232,2.28857,23.3382,84.5178,72.4062,70.1958,2.61358,144.175,6.28265,3.71294,0.531602,8.07469,19.7309,5.42655,0.249844,0.342025,0.442875,0.7849,0.340395,0.114542,0.235258,0.486879,0.193031,5.49506,0.297592,,,86.015,13.6035,5.38,0.713451,0.713451,3.90044,15.473429501056671,1.5564894676208496,120.435,773.6,5.447887323,773.6,5.447887323,41.150001525878906,0.0,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
SFG,Giants,145.39,531.772,612.267,126.346,70.6136,26.6654,2.84587,26.221,83.3186,75.8741,68.7255,1.03515,153.447,6.61188,4.6441,0.513567,8.58474,8.7381,2.13109,0.237594,0.329681,0.446368,0.776048,0.33601,0.112248,0.250622,0.447876,0.208774,5.01133,0.28066,,,83.755,11.4109,1.2,-0.0817839,-0.0817839,3.77609,13.093462333083153,3.4436726570129395,118.156,752.9,5.192413793,752.9,5.192413793,167.9499969482422,0.0,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
CIN,Reds,147.758,570.767,636.302,147.319,90.1105,29.6272,4.82092,22.7602,92.9991,71.2149,56.8223,4.90079,177.143,3.27244,3.92513,1.51523,8.9108,39.0902,10.3993,0.258107,0.326745,0.446537,0.773282,0.331618,0.0893009,0.278395,0.32077,0.18843,7.08171,0.332344,,,84.7741,9.59016,0.56,2.6001,2.6001,3.77243,8.538557291030884,7.163125574588776,107.874,810.0,5.472972972,810.0,5.472972972,8.460000038146973,0.02469136,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
BAL,Orioles,137.646,489.077,559.623,122.488,79.4023,25.496,0.92748,16.6624,65.3704,63.4861,61.0962,1.81888,89.2962,3.8533,4.98826,0.60824,10.9416,0.91131,0.33971,0.250448,0.3353,0.408578,0.743878,0.325154,0.109174,0.159565,0.684197,0.158131,2.41973,0.272672,,,71.6209,5.49716,5.56,-0.897811,-0.897811,3.7278,5.681141436100006,11.493016719818115,109.974,629.1,4.558695652,629.1,4.558695652,152.3800048828125,0.1978022,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
TOR,Blue Jays,122.257,428.08,483.861,112.309,79.0577,20.0018,0.283895,12.966,55.0505,55.0872,46.0573,1.60097,58.8024,4.54736,4.62639,0.550058,12.188,0.294823,0.0798495,0.262356,0.337079,0.401273,0.738352,0.323211,0.095187,0.121527,0.783255,0.138917,1.63379,0.275237,,,61.1616,3.98972,7.31,-0.819155,-0.819155,3.69773,3.6264572739601135,15.861325740814209,107.795,532.4,4.363934426,532.4,4.363934426,158.97000122070312,0.056,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
LAA,Angels,147.823,567.867,633.879,141.086,83.6066,28.9499,1.1806,27.3489,85.1947,76.4204,42.8655,2.79724,158.843,16.0779,3.86083,3.20785,8.6108,26.8113,7.94322,0.248449,0.317169,0.448069,0.765238,0.32957,0.0676241,0.250588,0.269861,0.19962,5.61226,0.29501,,,83.3971,8.49945,-1.66,1.18677,1.18677,3.67844,8.952258825302124,5.18365752696991,110.394,771.1,5.210135135,771.1,5.210135135,26.3799991607666,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
NYY,Yankees,141.66,525.381,591.019,125.253,73.7038,18.279,3.24305,30.0276,88.6769,72.9136,55.4754,1.97189,159.48,4.90088,4.0148,1.24656,7.9767,31.8561,7.96168,0.238405,0.314748,0.457004,0.771752,0.331361,0.093864,0.26984,0.347851,0.218599,6.76624,0.280168,,,78.6175,8.78406,1.78,2.23863,2.23863,3.668,11.944947004318237,3.5640676021575928,113.934,744.7,5.244366197,744.7,5.244366197,20.920000076293945,0.0,2B/OF,/players/jazz-chisholm-jr/20454/stats/batting,9,AL,Jazz Chisholm Jr.,665862,20454,20454
ATH,Athletics,128.289,478.333,525.927,123.634,66.8002,24.5521,1.67364,30.6077,73.4168,79.2591,38.7892,1.09649,121.065,4.1353,3.94466,0.724577,7.3076,5.96892,1.62634,0.258468,0.317131,0.508758,0.825889,0.350587,0.0737539,0.230194,0.320399,0.250291,4.24371,0.281381,,,78.1686,16.0263,-3.75,-0.189358,-0.189358,3.66497,14.210602790117264,3.5091514587402344,123.231,726.5,5.67578125,726.5,5.67578125,53.970001220703125,0.12903226,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
ARI,Diamondbacks,150.326,550.44,647.845,142.511,98.8494,26.5,3.60778,13.554,83.2826,59.5173,72.5093,1.20769,88.8609,6.94349,5.41529,12.5372,12.5566,18.2373,5.24595,0.258904,0.34938,0.394028,0.743408,0.328106,0.111924,0.137164,0.815986,0.135124,5.5696,0.284397,,,84.4645,7.91663,-0.26,0.330028,0.330028,3.66008,7.520078599452972,6.699537038803101,109.364,743.7,4.958,743.7,4.958,78.05000305175781,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15,NL,Geraldo Perdomo,672695,22799,22799
HOU,Astros,146.289,576.986,632.513,158.078,110.375,27.6427,1.72397,18.3364,81.5542,70.3411,36.416,0.78362,115.041,10.7303,4.183,2.33728,14.0163,17.1472,4.83159,0.273972,0.326626,0.423196,0.749822,0.325851,0.0575736,0.181879,0.316549,0.149224,4.95887,0.312068,,,81.3075,6.57119,-0.37,0.416093,0.416093,3.65612,7.5621088445186615,6.402638792991638,109.586,728.9,4.992465753,728.9,4.992465753,92.44000244140625,0.01587302,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
