Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SDP,Padres,125,492,538,129,80,26,4,20,68,73,37,2,109,3,3,2,,8,3,0.262503,0.316729,0.450202,0.766931,0.328984,0.0689887,0.203345,0.339269,0.187699,4.98098,0.299257,0.899353,,70.5898,6.96409,3.95424,-0.2037,0.695653,3.44881,10.070017695426941,5.711952328681946,114.688,643.4,5.1472,643.4,5.1472,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538,29490,29490
LAD,Dodgers,124,455,534,118,71,22,2,24,80,78,72,4,84,3,3,1,,17,3,0.260548,0.363253,0.474266,0.837519,0.360484,0.135642,0.157803,0.85957,0.213718,5.27213,0.27034,0.00101309,,83.732,20.5811,-0.575266,1.14558,1.14659,3.43417,22.074297428131104,-6.301654577255249,133.038,755.5,6.092741935,755.5,6.092741935,13.130000114440918,0.11801242,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345
TEX,Rangers,108,405,466,105,63,20,0,21,63,64,53,8,91,4,3,0,,2,0,0.259479,0.348045,0.468759,0.816804,0.347416,0.113507,0.195813,0.579669,0.20928,2.68428,0.282897,-0.738763,,67.9889,12.9865,0.214596,-0.441665,-1.18043,3.32363,12.684507966041565,3.7653671205043793,125.271,613.2,5.677777777,613.2,5.677777777,95.08999633789062,0.03846154,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
PHI,Phillies,125,490,538,134,92,25,3,15,75,57,39,1,98,4,3,1,,21,4,0.274206,0.331332,0.426973,0.758304,0.329363,0.0725629,0.182337,0.39796,0.152767,6.14723,0.314674,1.17821,,70.7553,7.12955,-0.408763,1.8905,3.06871,3.32331,9.194643259048462,5.360681235790253,109.599,648.7,5.1896,648.7,5.1896,26.780000686645508,0.00595238,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208,16252,16252
BAL,Orioles,111,391,448,101,64,22,1,15,54,54,51,1,69,2,3,0,,1,0,0.258579,0.345656,0.431872,0.777528,0.338609,0.114544,0.155161,0.73823,0.173292,2.45617,0.279135,-0.298345,,62.205,9.29108,1.89286,-0.664382,-0.962727,3.29324,9.194029092788696,6.2561280727386475,119.243,546.0,4.918918918,546.0,4.918918918,148.92999267578125,0.18095238,C/DH,/players/adley-rutschman/26288/stats/batting,2.0,AL,Adley Rutschman,668939,26288,26288
ATL,Braves,112,452,483,127,82,23,3,19,60,68,22,1,91,4,3,1,,15,4,0.280419,0.316928,0.469164,0.786092,0.336126,0.0456345,0.188513,0.242076,0.188745,5.67755,0.312704,0.365901,,66.082,9.04243,4.38228,0.738143,1.10404,3.28178,9.898747086524963,6.106353044509888,115.371,616.9,5.508035714,616.9,5.508035714,99.06999969482422,0.01075269,OF,/players/michael-harris-ii/25931/stats/batting,16.0,NL,Michael Harris II,671739,25931,25931
LAA,Angels,125,479,542,118,68,28,1,22,75,65,45,4,136,13,3,2,,22,8,0.247023,0.326315,0.443091,0.769405,0.331832,0.082308,0.250749,0.328249,0.196068,5.50535,0.298127,0.278482,,72.2847,8.26077,-1.09032,0.345515,0.623997,3.23696,8.257367730140686,4.715239644050598,111.953,668.9,5.3512,668.9,5.3512,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1.0,AL,Zach Neto,687263,31347,31347
NYM,Mets,127,507,550,143,98,29,1,15,67,66,36,1,94,3,4,1,,5,2,0.281594,0.330459,0.4285,0.758959,0.328948,0.0652118,0.171488,0.38027,0.146906,3.58834,0.319085,0.191626,,72.092,7.09795,3.11854,-0.803832,-0.612206,3.19951,8.662563920021057,4.297247886657715,114.226,645.5,5.082677165,645.5,5.082677165,92.86000061035156,0.04761905,SS,/players/bo-bichette/19612/stats/batting,25.0,NL,Bo Bichette,666182,19612,19612
NYM,Mets,96,368,417,94,59,18,2,16,60,50,39,1,77,7,2,1,,14,3,0.256162,0.336754,0.441249,0.778003,0.337808,0.0935453,0.184291,0.507596,0.185088,5.88766,0.28303,-0.292642,,57.637,8.37832,2.5135,0.821104,0.528462,3.17188,10.556586265563965,6.566589593887329,120.296,528.6,5.50625,528.6,5.50625,25.350000381469727,0.01086957,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916
CHC,Cubs,130,501,563,119,78,21,2,18,71,68,53,1,141,3,4,1,,12,3,0.237503,0.312435,0.398704,0.711139,0.310631,0.0948341,0.24947,0.380143,0.161201,5.15453,0.290215,0.666075,,65.4376,-1.10852,4.67733,0.356534,1.02261,3.13044,1.135764978826046,10.711587905883789,100.17,589.3,4.533076923,589.3,4.533076923,152.30999755859375,0.00531915,SS,/players/dansby-swanson/18314/stats/batting,17.0,NL,Dansby Swanson,621020,18314,18314
ATH,Athletics,121,441,521,113,61,22,1,29,82,79,74,5,149,3,3,1,,5,2,0.256465,0.364161,0.508041,0.872202,0.371918,0.141252,0.286381,0.493229,0.251576,3.93451,0.317124,0.048559,,86.4776,24.9043,-0.814843,-0.580177,-0.531618,3.12991,22.761219024658203,-10.120398342609406,137.924,768.8,6.353719008,768.8,6.353719008,19.8700008392334,0.03472222,1B,/players/nick-kurtz/35110/stats/batting,10.0,AL,Nick Kurtz,701762,35110,35110
LAD,Dodgers,98,369,425,100,63,20,2,15,63,56,49,2,51,3,3,1,,6,1,0.269526,0.357979,0.455129,0.813108,0.352293,0.115431,0.119469,0.9662,0.185603,4.50324,0.275768,-0.143614,,63.7971,13.5479,-1.67399,-0.188737,-0.332351,3.12376,13.491347640752792,2.882487177848816,127.426,566.0,5.775510204,566.0,5.775510204,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141,13611,13611
KCR,Royals,127,493,550,133,92,28,3,10,72,56,49,0,84,1,3,3,,21,6,0.26898,0.335178,0.399737,0.734915,0.32232,0.0897595,0.152353,0.589154,0.130757,5.71797,0.303879,0.544244,,69.1315,4.1375,5.58528,0.731399,1.27564,3.08625,3.5842692852020264,7.632505416870117,103.561,617.2,4.859842519,617.2,4.859842519,63.150001525878906,0.02955665,3B,/players/maikel-garcia/22715/stats/batting,7.0,AL,Maikel Garcia,672580,22715,22715
ATL,Braves,130,486,563,124,68,29,1,26,77,82,69,3,136,4,4,0,,1,0,0.255652,0.350126,0.48064,0.830766,0.356591,0.121772,0.240701,0.505908,0.224988,2.45514,0.298692,-0.665226,,86.4533,19.9072,2.94395,-0.811396,-1.47662,3.04665,18.141571164131165,-7.113149166107178,129.39,763.5,5.873076923,763.5,5.873076923,48.0099983215332,0.0,1B,/players/matt-olson/14344/stats/batting,16.0,NL,Matt Olson,621566,14344,14344
STL,Cardinals,117,436,504,111,78,18,1,14,68,55,52,1,87,10,3,1,,12,2,0.253974,0.345241,0.395876,0.741117,0.327723,0.103652,0.172204,0.601912,0.141902,5.22684,0.286383,0.0540963,,65.5197,5.99886,2.76281,0.643054,0.69715,3.0096,8.001096665859222,4.644598484039307,112.234,578.3,4.942735042,578.3,4.942735042,999.0,0.0,2B,/players/jj-wetherholt/34985/stats/batting,28.0,NL,JJ Wetherholt,802139,34985,34985
