Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Matt Pushard ","STL","RP",999,56,-6.28284076837711,-2.6832634381672,-4.172617337227624,-4.5335294898721115,-7.8421226911803,-25.514373724824345,11.693156450571745,-12.821217274252602,"Matt Pushard","sa3019955",690155
"Drew Smith ",,"RP",999,45,-7.54203223845465,-2.6832634381672,-3.6271699700618614,-3.6063530844530898,-8.10376904601999,-25.5625877771568,11.693156450571745,-12.869431326585053,"Drew Smith","17755",622098
"Brent Suter ",,"RP",999,62,-6.28284076837711,-2.6832634381672,-3.813289670196295,-4.94594142397009,-7.8421226911803,-25.567457991890993,11.693156450571745,-12.87430154131925,"Brent Suter","13942",608718
"Grant Wolfram ","BAL","RP",999,38,-7.54203223845465,-2.6832634381672,-2.5411171356944076,-3.809557266296358,-9.06313901376552,-25.639109092378146,11.693156450571745,-12.945952641806397,"Grant Wolfram","21623",664991
"J.P. France ","HOU","RP",999,44,-7.54203223845465,-2.6832634381672,-3.084950536205479,-3.708705621676154,-8.62706175569937,-25.646013590202863,11.693156450571745,-12.952857139631115,"J.P. France","21212",641585
"Trent Thornton ",,"RP",999,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-3.607853977055954,-8.19098449763322,-25.652918088027583,11.693156450571745,-12.959761637455836,"Trent Thornton","17948",663423
"Reiver Sanmartin ","SFG","RP",999,40,-7.54203223845465,-2.6832634381672,-1.8192338683223646,-4.11811577056841,-9.49921627183167,-25.661861587344298,11.693156450571745,-12.968705136772554,"Reiver Sanmartin","19754",665665
"Ryne Nelson ","ARI","SP",267.1499938964844,166,2.5314995221657,-2.6832634381672,-13.239735279054885,-11.238975650471412,-0.167162949216075,-24.797637794743878,10.823493985509053,-12.974143809234825,"Ryne Nelson","26253",669194
"Miguel Castro ",,"RP",999,38,-7.54203223845465,-2.6832634381672,-2.5411171356944076,-3.809557266296358,-9.15035446537875,-25.72632454399137,11.693156450571745,-13.033168093419626,"Miguel Castro","15684",612434
"Michael Petersen ","MIA","RP",999,40,-7.54203223845465,-2.6832634381672,-3.6255560034071665,-3.091588613132048,-8.80149265892583,-25.743932952086897,11.693156450571745,-13.050776501515154,"Michael Petersen","20827",656848
"Josh Simpson ","MIA","RP",999,42,-7.54203223845465,-2.6832634381672,-2.000511668492723,-4.939937853558646,-8.62706175569937,-25.792806954372594,11.693156450571745,-13.09965050380085,"Josh Simpson","25957",681006
"Cole Winn ","TEX","RP",999,63,-6.28284076837711,-0.256953014920909,-5.258670171595078,-6.896643201619748,-7.14439907827446,-25.839506234787308,11.693156450571745,-13.146349784215559,"Cole Winn","22113",668390
"Gus Varland ","ARI","RP",999,40,-7.54203223845465,-2.6832634381672,-2.7223949358647657,-4.11811577056841,-8.80149265892583,-25.867299041980864,11.693156450571745,-13.174142591409117,"Gus Varland","24737",681402
"Ron Marinaccio ","SDP","RP",999,54,-6.28284076837711,-2.6832634381672,-3.991339537057269,-5.251498143036422,-7.66769178795384,-25.876633674591844,11.693156450571745,-13.183477224020098,"Ron Marinaccio","23488",676760
"Dylan Smith ","DET","RP",999,42,-7.54203223845465,-2.6832634381672,-2.903672736035124,-3.913410696122282,-8.88870811053906,-25.93108721931832,11.693156450571745,-13.237930768746578,"Dylan Smith","30145",681916
"Bubba Chandler ","PIT","SP",148.4600067138672,164,1.27230805208816,-2.6832634381672,-11.252135343799715,-13.49673503979026,1.05385337336914,-25.10597239629988,10.823493985509053,-13.282478410790826,"Bubba Chandler","29868",696149
"Bradgley Rodriguez ","SDP","RP",999,39,-7.54203223845465,-2.6832634381672,-2.1801755020083875,-4.7337318865096565,-8.88870811053906,-26.027911175678963,11.693156450571745,-13.334754725107219,"Bradgley Rodriguez","29107",699134
"Luke Jackson ",,"RP",999,53,-6.28284076837711,-2.6832634381672,-3.4491201032008867,-5.867114258977668,-7.75490723956707,-26.03724580828994,11.693156450571745,-13.34408935771819,"Luke Jackson","11752",592426
"Eduardo Rodriguez ","ARI","SP",554.8499755859375,143,1.27230805208816,-2.6832634381672,-10.703460043324567,-12.053293270447334,-1.03931746534837,-25.207026165199316,10.823493985509053,-13.383532179690265,"Eduardo Rodriguez","13164",593958
"Beau Brieske ","DET","RP",999,50,-7.54203223845465,-2.6832634381672,-3.6287839367165513,-4.121117555774134,-8.10376904601999,-26.07896621513253,11.693156450571745,-13.385809764560785,"Beau Brieske","26079",689225
"Joey Lucchesi ",,"RP",999,46,-7.54203223845465,-2.6832634381672,-2.3630672688334364,-4.530527704666388,-8.97592356215229,-26.094814212273974,11.693156450571745,-13.401657761702227,"Joey Lucchesi","19320",664192
"Luis Perales ","WSN","RP",999,42,-7.54203223845465,-2.6832634381672,-2.903672736035124,-4.4266742748404635,-8.53984630408614,-26.095488991583583,11.693156450571745,-13.40233254101184,"Luis Perales","sa3014677",691384
"Doug Nikhazy ","CLE","RP",999,43,-7.54203223845465,-2.6832634381672,-3.4458921698915024,-3.8110581588992187,-8.62706175569937,-26.109307761111946,11.693156450571745,-13.4161513105402,"Doug Nikhazy","30142",680951
"Michael Kopech ",,"RP",585.6900024414062,46,-7.54203223845465,-2.6832634381672,-3.2662283363758378,-5.04379128338457,-7.58047633634061,-26.115791632722875,11.693156450571745,-13.422635182151128,"Michael Kopech","17282",656629
