Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
MIN,Twins,4,4,12,12,0,0,,65.0,278,60,33,30,9,67,25,,2,4.20625,1.3027,9.25271,3.38967,2.72968,1.23577,0.240897,0.088251,0.15264615416526794,,0.239736,0.292406,0.718621,4.04358,267.3,4.112307692307692,261.0,4.015384615384615,0.9638,0.836353,6,492.4599914550781,/players/taj-bradley/22543/stats/pitching,P,8,8.0,AL,Taj Bradley,671737,22543,22543
CIN,Reds,3,4,12,12,0,0,,64.0,274,63,34,32,10,56,23,,1,4.50082,1.35222,7.94929,3.22866,2.4621,1.36322,0.204622,0.0831085,0.12151315808296204,,0.252383,0.290181,0.714273,4.4432,226.8,3.54375,230.0,3.59375,0.949684,0.807775,5,221.92999267578125,/players/andrew-abbott/29911/stats/pitching,P,18,18.0,NL,Andrew Abbott,671096,29911,29911
KCR,Royals,4,4,12,12,0,0,,69.0,297,70,37,34,9,56,21,,2,4.40372,1.3117,7.27824,2.7059,2.68977,1.21294,0.18931,0.0703817,0.11892852187156677,,0.256839,0.292772,0.698485,4.24082,260.90000000000003,3.7811594202898555,271.0,3.927536231884058,0.937124,0.787403,6,609.2899780273438,/players/michael-wacha/14078/stats/pitching,P,7,7.0,AL,Michael Wacha,608379,14078,14078
PIT,Pirates,3,3,9,13,0,0,,52.0,217,46,24,22,6,54,18,,2,3.80343,1.25081,9.38966,3.14456,2.986,1.05545,0.247353,0.0828378,0.16451556980609894,,0.235712,0.294386,0.729395,3.71905,239.4,4.603846153846154,230.0,4.423076923076923,0.936887,0.890888,4,714.77001953125,/players/jared-jones/27863/stats/pitching,P,27,27.0,NL,Jared Jones,683003,27863,27863
CHW,White Sox,3,4,11,11,0,0,,60.0,258,59,30,28,7,51,20,,3,4.12938,1.31247,7.57777,3.02939,2.50141,1.05841,0.197108,0.0787987,0.11830945312976837,,0.250867,0.292883,0.710381,4.09008,237.49999999999997,3.958333333333333,242.0,4.033333333333333,0.919295,0.817577,6,999.0,/players/davis-martin/21448/stats/pitching,P,4,4.0,AL,Davis Martin,663436,21448,21448
BAL,Orioles,4,4,11,11,0,0,,61.0,260,60,31,28,7,51,20,,2,4.2079,1.32531,7.55559,3.01211,2.5084,1.1021,0.196061,0.0781617,0.11789930611848831,,0.252965,0.293887,0.710083,4.11052,245.30000000000007,4.021311475409838,250.0,4.098360655737705,0.917069,0.719236,5,146.07000732421875,/players/trevor-rogers/22286/stats/pitching,P,2,2.0,AL,Trevor Rogers,669432,22286,22286
CHC,Cubs,4,4,11,11,0,0,,65.0,271,62,32,30,11,61,15,,2,4.08417,1.18168,8.4265,2.09069,4.03048,1.55238,0.225494,0.0559473,0.1695471853017807,,0.243979,0.27921,0.736377,4.25266,255.5,3.9307692307692306,253.0,3.8923076923076922,0.901082,0.853005,6,157.92999267578125,/players/shota-imanaga/33829/stats/pitching,P,17,17.0,NL,Shota Imanaga,684007,33829,33829
MIA,Marlins,3,3,10,10,0,0,,49.0,208,42,24,22,7,56,19,,2,4.0519,1.223,10.1415,3.38566,2.99542,1.23183,0.267894,0.0894344,0.17845962196588516,,0.223708,0.281538,0.71536,3.88853,216.3,4.414285714285715,203.0,4.142857142857143,0.886038,0.720776,5,78.6500015258789,/players/eury-perez/27768/stats/pitching,P,20,20.0,NL,Eury Pérez,691587,27768,27768
LAD,Dodgers,3,3,9,14,0,0,,52.0,218,45,26,24,8,59,18,,3,4.14428,1.20926,10.1647,3.12197,3.25586,1.34853,0.269819,0.0828717,0.18694716691970825,,0.227735,0.284163,0.713372,3.98652,224.39999999999998,4.315384615384615,211.0,4.0576923076923075,0.880927,0.693892,4,111.20999908447266,/players/emmet-sheehan/29839/stats/pitching,P,22,22.0,NL,Emmet Sheehan,686218,29839,29839
DET,Tigers,4,4,11,11,0,0,,55.0,238,50,27,25,7,62,22,,3,4.0929,1.29594,10.0344,3.56981,2.8109,1.1744,0.259578,0.0923469,0.1672309711575508,,0.23392,0.295805,0.722182,3.91888,239.89999999999998,4.361818181818181,233.0,4.236363636363636,0.87812,0.764858,5,209.0,/players/jack-flaherty/17479/stats/pitching,P,6,6.0,AL,Jack Flaherty,656427,17479,17479
