Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
CHC,Cubs,137.0,519.169,587.674,129.082,80.1972,25.2206,1.32498,22.339,77.704,76.9968,54.8269,0.895856,146.702,3.37235,4.21588,1.20758,9.8207,13.5333,3.99423,0.248632,0.322019,0.4314,0.753419,0.326651,0.0932949,0.249632,0.37373,0.182768,4.68103,0.301241,,,75.9251,6.48689,1.31,0.163217,0.163217,3.59491,7.924878194928169,7.652592658996582,111.144,677.8,4.947445255,677.8,4.947445255,152.30999755859375,0.0,SS,/players/dansby-swanson/18314/stats/batting,17.0,NL,Dansby Swanson,621020,18314,18314
TEX,Rangers,125.0,463.11,533.357,116.188,69.6193,23.6525,2.61778,20.2989,75.0937,64.8906,61.1368,2.01723,119.523,5.28852,3.22977,0.591713,7.2586,16.5876,4.59643,0.250887,0.342766,0.444761,0.787526,0.341497,0.114626,0.224096,0.511505,0.193873,5.75622,0.293673,,,75.3364,12.3162,6.28,0.550389,0.550389,3.58843,13.873066127300262,2.833787202835083,121.193,677.6,5.4208,677.6,5.4208,37.75,0.01156069,OF,/players/wyatt-langford/33333/stats/batting,13.0,AL,Wyatt Langford,694671,33333,33333
LAA,Angels,131.0,494.836,563.018,123.32,73.4373,25.0092,1.90618,22.9676,77.7837,69.3443,47.667,2.60571,138.17,13.8967,3.41823,3.20015,7.78642,23.8395,7.50947,0.249214,0.330257,0.446703,0.77696,0.335819,0.0846634,0.245409,0.344989,0.197488,5.77145,0.297679,,,76.9305,10.4056,-1.31,0.818602,0.818602,3.55177,10.572300970554352,4.754814624786377,114.699,703.1,5.367175572,703.1,5.367175572,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1.0,AL,Zach Neto,687263,31347,31347
CIN,Reds,133.0,506.23,570.426,129.797,79.5803,26.394,3.06314,20.7599,83.9147,66.6117,56.225,4.08276,155.786,2.91788,3.47833,1.57406,8.48673,35.0943,8.60443,0.2564,0.332143,0.443666,0.775809,0.333903,0.0985667,0.273105,0.360912,0.187266,6.80732,0.32728,,,77.0556,9.6554,0.74,2.60634,2.60634,3.54581,8.988095045089722,6.683608293533325,109.439,730.2,5.490225563,730.2,5.490225563,8.449999809265137,0.02150538,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
CHC,Cubs,129.0,496.625,551.997,121.432,74.0538,22.6693,5.14321,19.566,79.7839,60.463,35.9258,2.3719,134.495,7.47869,4.39098,7.5763,5.11389,33.5999,5.8506,0.244515,0.302775,0.429068,0.731843,0.314257,0.0650833,0.243651,0.267117,0.184553,7.95697,0.293601,,,65.7613,0.538563,8.73,3.5643,3.5643,3.5188,5.3002482652664185,10.72074019908905,102.653,640.6,4.965891472,640.6,4.965891472,32.939998626708984,0.00555556,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
ATL,Braves,132.0,510.883,573.317,132.135,78.1922,26.0436,2.13572,25.763,76.6746,82.2363,49.5184,0.719112,141.392,7.83455,4.48762,0.593648,9.31514,3.1212,1.08994,0.25864,0.330853,0.469263,0.800117,0.34419,0.0863717,0.246622,0.35022,0.210624,3.81142,0.305476,,,82.2345,14.4926,-0.25,-0.712189,-0.712189,3.49735,13.486252784729004,1.6154969930648804,120.895,736.3,5.578030303,736.3,5.578030303,59.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16.0,NL,Austin Riley,663586,18360,18360
SFG,Giants,134.0,496.99,573.959,121.426,72.2568,26.938,1.71019,20.5214,75.3887,69.5043,65.902,0.904394,127.702,6.04112,4.42618,0.600063,9.12932,8.51832,2.48881,0.244324,0.337257,0.429282,0.766539,0.334197,0.11482,0.222494,0.51606,0.184959,4.40524,0.285694,,,77.6698,9.85211,1.45,-0.261539,-0.261539,3.46481,11.24449896812439,3.5179011821746826,116.914,695.2,5.188059701,695.2,5.188059701,163.6199951171875,0.0,3B,/players/matt-chapman/16505/stats/batting,30.0,NL,Matt Chapman,656305,16505,16505
PHI,Phillies,130.0,507.331,561.117,142.169,97.9502,25.7385,4.24467,14.2354,76.2316,66.0934,39.2698,0.232712,100.647,4.70644,3.74644,0.813799,10.45,21.5326,4.93431,0.280229,0.335364,0.431874,0.767238,0.333038,0.0699851,0.179369,0.390174,0.151645,6.44702,0.322905,,,75.4037,9.10348,-0.87,1.35042,1.35042,3.40003,9.408095002174377,5.148518443107605,112.116,677.8,5.213846153,677.8,5.213846153,26.780000686645508,0.00613497,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208,16252,16252
SDP,Padres,123.0,463.793,526.685,125.26,85.6197,23.622,1.61815,14.4001,69.5628,61.0361,46.3035,1.28881,85.4307,4.53881,4.95651,0.988882,11.1003,14.8613,4.88283,0.270077,0.338924,0.421133,0.760057,0.330757,0.0879149,0.162204,0.542001,0.151056,5.07916,0.3005,,,69.8015,7.56961,-0.31,0.0802836,0.0802836,3.36823,10.007369473576546,5.384444177150726,115.903,616.1,5.008943089,616.1,5.008943089,237.1999969482422,0.05769231,SS,/players/xander-bogaerts/12161/stats/batting,29.0,NL,Xander Bogaerts,593428,12161,12161
SFG,Giants,136.0,504.595,579.887,118.741,69.1533,25.3672,1.03109,23.1896,74.5179,74.5105,64.3382,1.33836,148.932,3.55492,4.53088,0.519683,7.03303,10.696,3.46006,0.23532,0.323446,0.42755,0.750996,0.326207,0.11095,0.256829,0.431998,0.19223,4.29357,0.283532,,,74.71,6.19194,-1.19,-0.17366,-0.17366,3.28377,7.689287543296814,5.106296062469482,111.441,672.3,4.943382352,672.3,4.943382352,133.92999267578125,0.00549451,SS,/players/willy-adames/15986/stats/batting,30.0,NL,Willy Adames,642715,15986,15986
