Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
BAL,Orioles,8.3678,7.23417,24.0,24.0,0.0,0.0,,121.392,514.756,107.862,55.79,52.2,12.8102,127.192,49.7506,0.369992,3.31795,3.87011,1.29837,9.42999,3.68851,2.55658,0.94975,0.247091,0.096649,0.15044233947992325,,0.233625,0.29548,0.728979,3.72295,549.7,4.542975206611571,531.0,4.3884297520661155,2.28532,1.95649,7.40487,72.95999908447266,2,AL,Kyle Bradish,680694,24586,24586
TEX,Rangers,9.30225,8.34284,25.0,25.0,0.0,0.0,,146.325,611.78,131.026,68.7,64.38,17.6445,130.912,44.8886,0.47337,9.39915,3.95982,1.20222,8.05198,2.76096,2.91637,1.08526,0.213985,0.0733739,0.14061140269041061,,0.235027,0.277259,0.709032,4.02642,618.4000000000001,4.235616438356165,596.0,4.082191780821918,2.22542,2.2113,11.1542,132.50999450683594,13,AL,Nathan Eovaldi,543135,9132,9132
KCR,Royals,8.9909,8.61943,25.0,25.0,0.0,0.0,,146.425,626.44,126.591,73.69,68.98,20.138,159.858,64.8606,0.498482,5.67446,4.23985,1.30751,9.82567,3.98665,2.46464,1.23778,0.255185,0.103538,0.15164657682180405,,0.22772,0.283188,0.72132,4.18471,611.2,4.186301369863014,577.0,3.952054794520548,2.20539,1.69414,11.3342,48.15999984741211,7,AL,Cole Ragans,666142,21846,21846
NYY,Yankees,7.94126,6.27483,21.0,21.0,0.0,0.0,,114.387,479.972,99.1084,52.86,49.57,14.3203,125.22,42.942,0.319337,2.85483,3.90018,1.24184,9.85237,3.37868,2.91604,1.12673,0.260891,0.0894676,0.1714233160018921,,0.228268,0.287774,0.731057,3.77432,525.9999999999999,4.614035087719297,500.0,4.385964912280702,2.18033,1.81853,7.88662,116.62999725341797,9,AL,Cam Schlittler,693645,32095,32095
BOS,Red Sox,9.0621,9.29746,27.0,27.0,0.0,0.0,,148.014,628.147,143.397,76.72,71.38,19.8086,133.531,48.5569,0.40119,3.55418,4.34026,1.29687,8.11935,2.9525,2.74999,1.20446,0.212579,0.0773018,0.13527723401784897,,0.248938,0.292382,0.701697,4.12682,586.4000000000001,3.962162162162163,589.0,3.97972972972973,2.1554,1.51611,10.5777,138.08999633789062,3,AL,Sonny Gray,543243,12768,12768
NYY,Yankees,9.74782,7.50052,24.0,24.0,0.0,0.0,,145.68,615.8,123.877,72.14,67.66,20.2287,151.643,58.3583,0.399362,6.88667,4.17998,1.25093,9.36841,3.60533,2.59849,1.24972,0.246254,0.0947682,0.15148591995239258,,0.225004,0.273708,0.715299,4.20201,621.0000000000001,4.253424657534247,579.0,3.9657534246575343,2.1069,1.89911,11.7188,202.3000030517578,9,AL,Carlos Rodón,607074,16137,16137
PIT,Pirates,8.48769,10.1679,27.0,27.0,0.0,0.0,,152.793,660.138,153.726,85.16,79.79,19.291,122.611,52.6843,0.415935,7.62541,4.69989,1.35091,7.22216,3.10328,2.32727,1.1363,0.185735,0.0798081,0.10592678189277649,,0.256283,0.293573,0.675855,4.35569,561.1,3.667320261437909,581.0,3.7973856209150325,2.0751,1.03199,11.6188,518.6300048828125,27,NL,Mitch Keller,656605,17594,17594
KCR,Royals,7.65619,8.20929,22.0,31.0,0.0,0.582,,111.724,472.045,101.044,52.29,48.84,12.4064,110.72,39.4995,0.705856,4.1176,3.93435,1.25795,8.91915,3.18192,2.80307,0.999407,0.234554,0.0836775,0.1508762091398239,,0.235847,0.290326,0.71649,3.7679,515.6000000000001,4.6035714285714295,501.0,4.473214285714286,2.06618,1.70702,5.49118,190.69000244140625,7,AL,Kris Bubic,663460,21455,21455
PIT,Pirates,7.019,7.6651,20.0,33.0,0.0,0.5851,,107.42,453.424,100.356,50.07,46.82,10.5304,102.552,36.1509,0.641113,3.21509,3.92274,1.27079,8.59218,3.02885,2.83678,0.882272,0.226173,0.0797287,0.14644398540258408,,0.242373,0.29845,0.709871,3.59956,489.5,4.574766355140187,485.0,4.5327102803738315,2.05806,1.55471,4.98732,239.36000061035156,27,NL,Braxton Ashcraft,677952,23793,23793
NYM,Mets,9.09991,7.35561,24.0,24.0,0.0,0.0,,133.464,565.782,124.097,61.52,57.39,12.7224,111.264,50.8252,0.375622,4.63211,3.87003,1.31063,7.50295,3.42734,2.18914,0.857925,0.196655,0.0898317,0.10682288557291031,,0.243172,0.288282,0.721798,3.95361,555.9000000000001,4.1796992481203015,550.0,4.135338345864661,2.03961,2.10419,9.46295,330.6300048828125,25,NL,Clay Holmes,605280,13649,13649
MIA,Marlins,7.40641,9.12151,24.0,24.0,0.0,0.0,,133.92,567.584,117.308,69.47,64.88,19.2921,128.38,51.3172,0.443833,5.4149,4.36021,1.25915,8.62766,3.44873,2.50169,1.29651,0.226186,0.0904134,0.13577260822057724,,0.229633,0.269883,0.700169,4.3615,541.6999999999998,4.042537313432835,511.0,3.8134328358208953,2.01447,1.44503,9.81454,78.6500015258789,20,NL,Eury Pérez,691587,27768,27768
