Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
LAD,Dodgers,2,2,0,32,10,5,,32.0,134,26,14,12,4,37,12,,1,3.45829,1.17311,10.3179,3.26286,3.16223,0.996018,0.277829,0.0878584,0.18997017294168472,,0.217861,0.284111,0.741957,3.46731,225.00000000000003,7.031250000000001,213.0,6.65625,0.606804,0.426425,0,712.8099975585938,/players/tanner-scott/17586/stats/pitching,P,22.0,22.0,NL,Tanner Scott,656945,17586,17586
MIA,Marlins,2,2,7,13,0,0,,40.0,171,39,21,19,5,36,12,,2,4.22932,1.26994,7.99459,2.75571,2.9011,1.07678,0.209421,0.0721867,0.13723456114530563,,0.24879,0.294543,0.688611,3.98637,163.1,4.0775,165.0,4.125,0.605024,0.342526,3,604.1099853515625,/players/braxton-garrett/21844/stats/pitching,P,20.0,20.0,NL,Braxton Garrett,666129,21844,21844
WSN,Nationals,4,5,14,14,0,0,,79.0,335,84,45,41,14,56,18,,3,4.71524,1.29849,6.41489,2.11157,3.03797,1.59552,0.167805,0.055236,0.11256946623325348,,0.267717,0.287497,0.694104,4.80413,243.00000000000003,3.075949367088608,262.0,3.3164556962025316,0.604541,0.424505,6,709.4099731445312,/players/zack-littell/15823/stats/pitching,P,24.0,24.0,NL,Zack Littell,641793,15823,15823
KCR,Royals,2,2,5,5,0,0,,28.0,114,22,12,11,3,34,11,,1,3.74153,1.20783,11.01,3.56387,3.08935,1.06135,0.294792,0.0954222,0.19936995208263397,,0.21813,0.291492,0.724976,3.47427,145.10000000000002,5.182142857142858,133.0,4.75,0.601613,0.621547,3,48.15999984741211,/players/cole-ragans/21846/stats/pitching,P,7.0,7.0,AL,Cole Ragans,666142,21846,21846
BOS,Red Sox,4,4,10,15,0,0,,61.0,264,62,33,30,7,48,22,,3,4.42391,1.36811,7.14859,3.18312,2.24578,1.0768,0.183472,0.0816962,0.10177550464868546,,0.258485,0.297213,0.694499,4.28486,225.10000000000008,3.6901639344262307,235.0,3.8524590163934427,0.598017,0.654994,4,421.4100036621094,/players/brayan-bello/23920/stats/pitching,P,3.0,3.0,AL,Brayan Bello,678394,23920,23920
SEA,Mariners,2,2,0,31,14,2,,31.0,129,23,12,11,3,39,13,,2,3.06017,1.13907,11.3118,3.6533,3.09632,0.753522,0.306145,0.0988736,0.20727090537548065,,0.20124,0.282045,0.753027,3.06558,243.7,7.861290322580645,227.0,7.32258064516129,0.594786,0.577815,0,41.189998626708984,/players/andres-munoz/20373/stats/pitching,P,11.0,11.0,AL,Andrés Muñoz,662253,20373,20373
ATL,Braves,2,2,0,34,15,1,,34.0,139,30,14,13,4,37,9,,1,3.49063,1.12512,9.71219,2.3656,4.10559,1.05114,0.265825,0.0647472,0.20107806473970413,,0.22915,0.290408,0.731635,3.35385,247.40000000000003,7.276470588235295,241.0,7.088235294117647,0.58673,0.611561,0,100.62000274658203,/players/raisel-iglesias/17130/stats/pitching,P,16.0,16.0,NL,Raisel Iglesias,628452,17130,17130
MIA,Marlins,2,3,8,12,0,0,,50.0,216,55,29,26,7,36,12,,2,4.70431,1.32942,6.43531,2.15466,2.98669,1.24743,0.167403,0.0560497,0.111353300511837,,0.272502,0.302382,0.670497,4.28969,170.89999999999998,3.4179999999999997,189.0,3.78,0.582856,0.301819,3,999.0,/players/janson-junk/23301/stats/pitching,P,20.0,20.0,NL,Janson Junk,676083,23301,23301
MIL,Brewers,3,4,11,18,0,0,,64.0,277,60,34,32,8,56,27,,4,4.43934,1.35427,7.83074,3.71973,2.10519,1.14045,0.201177,0.0955622,0.10561451315879822,,0.244345,0.285284,0.695165,4.43309,238.20000000000005,3.7218750000000007,235.0,3.671875,0.579658,0.510382,5,528.2000122070312,/players/brandon-sproat/33850/stats/pitching,P,23.0,23.0,NL,Brandon Sproat,687075,33850,33850
TOR,Blue Jays,2,2,0,34,13,2,,34.0,142,31,15,14,4,36,10,,1,3.59306,1.19391,9.44775,2.66217,3.54889,0.997124,0.2535,0.0714307,0.18206927925348282,,0.235875,0.297434,0.731579,3.44503,233.80000000000004,6.8764705882352954,230.0,6.764705882352941,0.570687,0.478198,0,999.0,/players/louie-varland/27691/stats/pitching,P,14.0,14.0,AL,Louis Varland,686973,27691,27691
