Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
TBR,Rays,7.69473,8.125,24.0,24.0,0.0,0.0,,122.184,499.03,105.761,53.16,49.69,14.5046,113.557,33.2651,0.411929,4.23764,3.66014,1.13785,8.36455,2.45029,3.4137,1.0684,0.227556,0.0666595,0.16089624911546707,,0.229155,0.273662,0.723269,3.7404,559.7000000000002,4.587704918032788,532.0,4.360655737704918,2.45956,2.34218,7.42253,132.36000061035156,12,AL,Drew Rasmussen,656876,25385,25385
DET,Tigers,9.63467,8.06362,25.0,25.0,0.0,0.0,,147.0,620.59,135.384,67.75,62.88,13.691,129.13,53.7986,0.434169,7.21097,3.8498,1.28696,7.90589,3.29379,2.40024,0.838224,0.208075,0.0866894,0.1213860735297203,,0.241939,0.291999,0.714246,3.83413,639.5999999999999,4.351020408163265,628.0,4.272108843537415,2.44566,2.38191,11.2052,81.13999938964844,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,9.12981,7.46799,24.0,24.0,0.0,0.0,,135.48,553.99,123.251,62.68,58.56,19.7574,122.675,28.8278,0.371671,5.04829,3.89017,1.12252,8.14934,1.91505,4.25543,1.31249,0.221439,0.0520368,0.1694018505513668,,0.23697,0.274024,0.718534,3.97013,577.2,4.275555555555556,559.0,4.140740740740741,2.44515,2.12881,9.81783,34.77000045776367,11,AL,Bryan Woo,693433,30279,30279
SFG,Giants,8.05234,7.52156,22.0,22.0,0.0,0.0,,129.492,552.51,119.205,61.08,56.98,11.597,121.276,53.2793,0.481194,5.07051,3.96024,1.33201,8.42895,3.70304,2.27623,0.806016,0.2195,0.0964314,0.12306816875934601,,0.241227,0.297846,0.712994,3.7781,565.5999999999999,4.384496124031007,557.0,4.317829457364341,2.40227,1.95025,9.93944,690.0999755859375,30,NL,Landen Roupp,694738,30076,30076
LAA,Angels,8.79393,8.20711,24.0,24.0,0.0,0.0,,141.024,601.47,126.19,63.69,59.54,13.2199,137.627,62.1492,0.53708,7.3084,3.79978,1.33551,8.78318,3.9663,2.21445,0.843681,0.228817,0.103329,0.12548814713954926,,0.237194,0.296381,0.73396,3.87954,624.9000000000001,4.431914893617022,605.0,4.290780141843972,2.2356,2.41503,10.7127,321.80999755859375,1,AL,José Soriano,667755,22100,22100
NYM,Mets,9.32226,7.63718,24.0,24.0,0.0,0.0,,141.096,593.79,118.987,67.65,63.49,19.8815,147.802,56.6409,0.378941,6.37313,4.0498,1.24474,9.42775,3.61292,2.60946,1.26817,0.248913,0.0953888,0.15352404117584229,,0.224175,0.272947,0.730597,4.21169,595.0000000000001,4.219858156028369,552.0,3.9148936170212765,2.18315,1.99304,10.8647,56.36000061035156,25,NL,Freddy Peralta,642547,18679,18679
LAD,Dodgers,8.8577,4.72246,19.0,19.0,0.0,0.0,,113.544,470.35,90.7539,52.02,48.95,15.1545,136.076,44.6712,0.327519,3.1372,3.87999,1.19271,10.786,3.54083,3.04617,1.20121,0.289308,0.0949743,0.1943337246775627,,0.214781,0.278645,0.730286,3.73651,550.4999999999999,4.828947368421051,503.0,4.412280701754386,2.17945,1.92556,8.8402,113.73999786376953,22,NL,Tyler Glasnow,607192,14374,14374
CLE,Guardians,8.94353,8.23723,24.0,24.0,0.0,0.0,,144.312,611.56,120.003,68.16,63.66,18.3266,158.89,66.0895,0.358067,6.0752,3.97015,1.28951,9.90913,4.12166,2.40416,1.14293,0.25981,0.108067,0.1517431065440178,,0.222476,0.280734,0.735077,4.08419,634.2000000000002,4.404166666666668,588.0,4.083333333333333,2.17202,2.18693,11.3683,144.74000549316406,5,AL,Gavin Williams,668909,30122,30122
TEX,Rangers,8.72144,7.5262,23.0,23.0,0.0,0.0,,134.872,557.6,122.271,63.37,59.19,18.3759,124.282,36.8093,0.430117,5.27826,3.94974,1.17949,8.29335,2.45628,3.37639,1.22622,0.222888,0.0660137,0.15687427669763565,,0.237183,0.278648,0.717715,3.99954,582.4000000000001,4.314074074074075,563.0,4.17037037037037,2.14434,2.12914,10.2996,132.50999450683594,13,AL,Nathan Eovaldi,543135,9132,9132
LAD,Dodgers,8.66468,4.78693,19.0,19.0,0.0,0.0,,112.043,472.12,93.108,52.52,48.93,13.5621,131.154,49.1875,0.399123,2.96581,3.93037,1.27001,10.5351,3.95105,2.66641,1.08939,0.277798,0.104184,0.17361415177583694,,0.221703,0.288995,0.728055,3.76399,520.8000000000002,4.650000000000001,484.0,4.321428571428571,2.14096,1.68919,8.60642,178.41000366210938,22,NL,Blake Snell,605483,13543,13543
