Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
BAL,Orioles,136.013,484.718,554.295,121.566,79.0024,24.1478,1.18335,17.2325,66.0975,63.9398,60.2001,1.79451,88.3888,3.82975,4.93898,0.607999,10.8219,0.919229,0.318838,0.250797,0.3352,0.412153,0.747353,0.326297,0.108607,0.159462,0.681083,0.161356,2.46306,0.271677,,,71.4535,5.9593,5.56,-0.87913,-0.87913,3.72608,6.151661217212677,11.189044952392578,110.762,627.2,4.611764705,627.2,4.611764705,157.49000549316406,0.25831703,C/DH,/players/adley-rutschman/26288/stats/batting,2,AL,Adley Rutschman,668939,26288,26288
ATL,Braves,144.501,558.521,620.276,144.427,84.6269,27.9443,2.72928,29.1268,81.6726,89.7078,47.9833,0.857029,160.127,8.37132,4.89734,0.503479,9.80711,2.30203,0.803192,0.258589,0.323961,0.474845,0.798806,0.342471,0.077358,0.258155,0.299657,0.216256,3.54522,0.308155,,,88.1042,14.8138,0.0,-0.793572,-0.793572,3.7034,13.701939523220062,1.8582947254180908,119.718,787.3,5.429655172,787.3,5.429655172,80.7699966430664,0.00121507,3B,/players/austin-riley/18360/stats/batting,16,NL,Austin Riley,663586,18360,18360
SFG,Giants,146.409,533.367,613.993,127.284,70.8744,27.9071,1.66638,26.8366,82.9736,77.7164,68.7886,1.03059,152.504,6.64335,4.6713,0.522949,8.81791,8.41604,2.52764,0.238643,0.330442,0.44816,0.778603,0.337089,0.112035,0.248381,0.451061,0.209517,4.36962,0.280035,,,84.5292,11.9812,0.0,-0.310969,-0.310969,3.69621,13.43954548239708,2.2593979835510254,118.896,759.4,5.201369863,759.4,5.201369863,169.88999938964844,0.0026087,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
HOU,Astros,146.764,577.876,633.31,157.305,108.011,29.6394,2.10579,17.5485,81.9441,69.8576,36.6266,0.776457,113.797,10.7338,4.20964,2.35076,13.786,17.6296,4.2076,0.272212,0.325151,0.421892,0.747043,0.324572,0.0578335,0.179686,0.321858,0.14968,5.35236,0.31006,,,80.7521,5.92162,0.0,0.782241,0.782241,3.67011,7.279411017894745,6.79463005065918,108.704,735.8,5.005442176,735.8,5.005442176,94.91000366210938,0.00352734,SS,/players/jeremy-pena/21636/stats/batting,21,AL,Jeremy Peña,665161,21636,21636
SDP,Padres,142.029,551.854,603.79,149.723,92.0784,33.4918,1.82178,22.331,76.0109,78.8347,40.6838,1.91197,119.637,3.17888,5.12861,2.94468,9.55364,9.08325,2.38062,0.271309,0.322189,0.459997,0.782186,0.335045,0.0673808,0.198144,0.340059,0.188688,4.44002,0.306958,,,82.1222,10.7798,0.0,-0.0430738,-0.0430738,3.6346,13.439309023320675,1.9969784021377563,118.84,745.4,5.249295774,745.4,5.249295774,76.91000366210938,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
CIN,Reds,148.301,573.36,639.695,146.619,91.3517,30.1057,3.69873,21.4628,91.2748,69.4707,57.5063,4.92029,175.814,3.30749,3.98294,1.53862,9.24458,39.8886,9.86681,0.255719,0.32505,0.433428,0.758478,0.326323,0.0898965,0.27484,0.327087,0.17771,6.84362,0.329301,,,82.4758,6.89094,0.0,2.96502,2.96502,3.48834,6.184782981872559,6.627391338348389,104.247,788.4,5.327027027,788.4,5.327027027,10.34000015258789,0.01179245,SS,/players/elly-de-la-cruz/26668/stats/batting,18,NL,Elly De La Cruz,682829,26668,26668
ATH,Athletics,130.204,483.246,531.593,123.709,67.5645,25.7201,1.46802,28.9563,71.8951,77.7215,39.4103,1.10207,122.589,4.1921,4.00892,0.73596,7.39284,5.94017,1.74902,0.255996,0.315172,0.495056,0.810228,0.344797,0.0741362,0.230606,0.321484,0.239061,4.17765,0.282246,,,76.5116,13.6998,-3.75,-0.25483,-0.25483,3.44948,11.80109828710556,3.6175098419189453,119.242,699.9,5.383846153,699.9,5.383846153,57.290000915527344,0.11860465,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
TEX,Rangers,142.712,528.713,608.254,132.475,77.7107,27.0641,3.01995,24.6799,85.729,73.431,69.0676,2.58499,142.297,6.25209,3.68695,0.534443,7.88408,19.4382,5.27059,0.250561,0.341925,0.453211,0.795135,0.343742,0.113551,0.233943,0.485377,0.20265,5.78165,0.294986,,,87.0245,15.1545,0.0,0.736055,0.736055,3.43452,17.038464725017548,-4.404691696166992,122.74,787.7,5.508391608,787.7,5.508391608,51.77000045776367,0.08503401,OF,/players/wyatt-langford/33333/stats/batting,13,AL,Wyatt Langford,694671,33333,33333
PHI,Phillies,141.534,526.585,611.718,143.676,87.0005,28.3926,2.2329,26.0496,85.5104,85.8623,75.1548,7.57765,127.412,4.7806,4.21786,0.979956,11.5652,10.218,3.83989,0.272844,0.366132,0.48365,0.849783,0.363267,0.122859,0.208285,0.589858,0.210806,4.48637,0.311723,,,97.2173,24.9381,0.0,-0.580928,-0.580928,3.33092,23.21708035469055,-11.012798309326172,132.824,864.2,6.085915492,864.2,6.085915492,53.22999954223633,0.10887316,OF,/players/bryce-harper/11579/stats/batting,26,NL,Bryce Harper,547180,11579,11579
SDP,Padres,146.021,569.608,629.777,148.235,93.1205,27.157,0.00862566,27.9486,78.4883,86.4944,51.2822,3.63102,121.275,2.32815,5.71395,0.614504,11.2197,8.14815,3.52058,0.26024,0.320933,0.455146,0.776078,0.33225,0.0814291,0.192569,0.422857,0.194906,3.20171,0.282297,,,84.2276,9.8146,0.0,-0.756807,-0.756807,3.31177,11.87671309709549,-0.46037426590919495,116.926,763.3,5.228082191,763.3,5.228082191,41.709999084472656,0.06349206,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
