Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
SEA,Mariners,10,7,29,29,0,0,,163.0,661,139,67,62,21,178,39,,5,3.41547,1.08688,9.82177,2.13928,4.59116,1.15761,0.269538,0.058708,0.2108297199010849,,0.224783,0.281705,0.745582,3.43771,810.5000000000001,4.97239263803681,766.0,4.699386503067485,3.0385,2.84684,17,36.290000915527344,11.0,AL,Logan Gilbert,669302,22250,22250
TOR,Blue Jays,12,10,31,31,0,0,,182.0,764,172,85,79,24,177,53,,3,3.90044,1.23572,8.75207,2.60102,3.36486,1.1989,0.231645,0.0688424,0.16280247271060944,,0.24333,0.292102,0.731074,3.84408,790.3999999999999,4.3428571428571425,784.0,4.3076923076923075,3.02251,2.57412,17,116.73999786376953,14.0,AL,Kevin Gausman,592332,14107,14107
TBR,Rays,9,7,24,24,0,0,,139.0,567,122,57,53,17,148,39,,3,3.44761,1.16194,9.59401,2.53215,3.78889,1.09159,0.260606,0.0687817,0.19182415306568146,,0.232619,0.292234,0.753671,3.49461,672.3000000000002,4.8366906474820155,644.0,4.633093525179856,2.95801,2.97643,14,241.47000122070312,12.0,AL,Shane McClanahan,663556,21483,21483
TEX,Rangers,10,10,29,29,0,0,,173.0,715,160,79,73,22,163,45,,7,3.77301,1.18363,8.49473,2.33656,3.63558,1.1218,0.228459,0.0628398,0.16561923176050186,,0.241092,0.289195,0.720851,3.76417,763.5999999999999,4.413872832369941,749.0,4.329479768786127,2.94869,2.69383,16,150.7899932861328,13.0,AL,Nathan Eovaldi,543135,9132,9132
MIL,Brewers,10,8,28,28,0,0,,149.0,613,131,66,62,21,158,40,,6,3.72518,1.14988,9.53361,2.42341,3.93396,1.2583,0.257278,0.0653991,0.19187869876623154,,0.231272,0.283986,0.739166,3.76293,681.7000000000002,4.575167785234901,650.0,4.3624161073825505,2.90933,2.73898,15,112.29000091552734,23.0,NL,Brandon Woodruff,605540,16162,16162
TEX,Rangers,11,9,29,29,0,0,,160.0,677,139,73,68,20,182,60,,8,3.82257,1.2438,10.2439,3.36228,3.04671,1.09823,0.2688,0.0882261,0.18057344108819962,,0.228237,0.293116,0.733293,3.71003,736.6,4.60375,700.0,4.375,2.87877,2.49712,16,181.55999755859375,13.0,AL,MacKenzie Gore,669022,22201,22201
LAA,Angels,11,10,31,31,0,0,,176.0,757,163,82,75,15,164,76,,10,3.85784,1.35801,8.38109,3.90604,2.14567,0.755456,0.216448,0.100876,0.11557144671678543,,0.24259,0.300695,0.717331,3.84412,764.1000000000001,4.341477272727274,755.0,4.2897727272727275,2.87671,2.82703,17,329.3800048828125,1.0,AL,José Soriano,667755,22100,22100
LAD,Dodgers,10,7,26,26,0,0,,141.0,592,113,60,56,16,175,63,,3,3.54515,1.2438,11.1757,3.99976,2.79409,1.03152,0.296148,0.105991,0.19015735387802124,,0.214593,0.289084,0.755403,3.5452,704.8000000000002,4.998581560283689,649.0,4.602836879432624,2.86986,2.94822,15,76.20999908447266,22.0,NL,Blake Snell,605483,13543,13543
ATL,Braves,12,9,28,28,0,0,,159.0,665,136,73,68,20,187,55,,8,3.84633,1.20677,10.6188,3.12417,3.39893,1.15017,0.28161,0.0828525,0.19875727593898773,,0.226517,0.294225,0.725571,3.62084,762.0000000000001,4.79245283018868,720.0,4.528301886792453,2.83246,2.75959,15,104.76000213623047,16.0,NL,Spencer Strider,675911,27498,27498
MIA,Marlins,11,11,31,31,0,0,,188.0,790,183,92,85,21,156,54,,7,4.07931,1.25847,7.47051,2.58808,2.88651,1.01319,0.197463,0.0684089,0.12905380129814148,,0.25045,0.292544,0.696532,3.91937,786.1000000000001,4.181382978723405,796.0,4.23404255319149,2.71614,2.74168,16,159.14999389648438,20.0,NL,Sandy Alcantara,645261,18684,18684
SDP,Padres,11,11,31,31,0,0,,183.0,754,159,85,80,29,200,55,,5,3.9157,1.16854,9.85416,2.71715,3.62666,1.41806,0.265913,0.0733218,0.19259106367826462,,0.22878,0.279646,0.741302,3.98199,804.1,4.393989071038251,758.0,4.14207650273224,2.68551,2.70703,17,90.58999633789062,29.0,NL,Nick Pivetta,601713,15454,15454
TBR,Rays,10,9,31,31,0,0,,160.0,658,151,72,67,19,141,41,,5,3.75491,1.1993,7.95361,2.33194,3.41073,1.09591,0.214849,0.0629921,0.1518571823835373,,0.246023,0.290627,0.727287,3.82574,701.6999999999999,4.385624999999999,697.0,4.35625,2.67905,2.72689,17,147.14999389648438,12.0,AL,Drew Rasmussen,656876,25385,25385
CIN,Reds,9,9,29,29,0,0,,164.0,695,159,82,76,25,149,50,,4,4.17048,1.27014,8.16736,2.75321,2.96649,1.34199,0.214821,0.0724157,0.14240481704473495,,0.247734,0.287459,0.728188,4.25513,628.7000000000002,3.8335365853658545,631.0,3.847560975609756,2.65304,2.50013,15,219.41000366210938,18.0,NL,Andrew Abbott,671096,29911,29911
CIN,Reds,8,7,23,31,0,1,,123.0,512,108,56,51,17,142,36,,2,3.7464,1.17072,10.3799,2.63372,3.94116,1.21926,0.277543,0.0704216,0.20712129771709442,,0.228318,0.290412,0.733194,3.51843,594.3,4.83170731707317,568.0,4.617886178861789,2.63073,2.31356,12,111.62000274658203,18.0,NL,Chase Burns,695505,35333,35333
NYM,Mets,11,9,29,29,0,0,,162.0,680,137,75,69,21,177,61,,7,3.82901,1.21814,9.8213,3.37286,2.91186,1.18902,0.260479,0.0894545,0.17102432996034622,,0.223689,0.279263,0.73359,3.92745,734.3,4.532716049382715,687.0,4.2407407407407405,2.6302,2.40426,16,59.150001525878906,25.0,NL,Freddy Peralta,642547,18679,18679
