Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
NYM,Mets,82.44,341.065,372.515,95.5112,65.8041,17.8793,1.0118,10.816,47.4792,43.013,25.2193,0.3725,61.5962,2.2351,2.5468,1.4498,,2.4984,0.789,0.280039,0.331385,0.433531,0.764916,0.335386,0.0677,0.165352,0.409429,0.153493,3.49498,0.312299,0.134,,49.3846,5.32291,1.345,-0.331905,-0.197905,2.18184,6.734055906534195,2.690999984741211,115.732,439.9,5.364634146,439.9,5.364634146,92.86000061035156,0.03652968,SS,/players/bo-bichette/19612/stats/batting,SS,25.0,25.0,NL,Bo Bichette,666182.0,19612,19612
TOR,Blue Jays,57.42,213.371,243.991,57.1571,39.3333,10.0806,0.3126,7.4306,28.7553,30.2527,26.3754,0.732,31.0882,2.1959,1.6984,0.3503,,0.4628,0.1686,0.267877,0.351864,0.422526,0.77439,0.342743,0.1081,0.127415,0.848406,0.154649,2.14559,0.281656,-0.869,,33.7914,4.93172,-0.934,-0.343204,-1.2122,2.15755,3.8844542503356934,3.138000011444092,117.664,285.0,5.0,285.0,5.0,160.25,0.05223881,C,/players/alejandro-kirk/22581/stats/batting,C,14.0,14.0,AL,Alejandro Kirk,672386.0,22581,22581
BAL,Orioles,71.66,275.2,316.678,70.4394,44.8774,14.349,1.0636,10.1494,39.0625,38.9999,37.1146,0.6334,47.4719,1.5834,2.3295,0.4505,,0.8827,0.3281,0.255958,0.345123,0.426468,0.771591,0.34079,0.1172,0.149906,0.781823,0.17051,2.92788,0.27416,-0.206,,43.3601,5.90296,-0.043,-0.41093,-0.61693,2.12247,5.814218580722809,2.2339999489486217,117.174,376.2,5.225,376.2,5.225,148.92999267578125,0.20138889,C/DH,/players/adley-rutschman/26288/stats/batting,C/DH,2.0,2.0,AL,Adley Rutschman,668939.0,26288,26288
ATL,Braves,81.05,323.09,345.744,89.4257,57.8215,15.5637,1.8267,14.2138,44.6412,46.6185,16.1462,0.3457,66.3627,2.7659,2.4513,1.2903,,8.1225,2.4262,0.276783,0.314521,0.468242,0.782763,0.33886,0.0466999,0.191942,0.243302,0.191459,5.1831,0.307032,0.28,,46.8026,5.90744,2.215,0.208363,0.488363,2.1184,6.341922879219055,3.322999954223633,114.313,431.4,5.325925925,431.4,5.325925925,99.06999969482422,0.01345291,OF,/players/michael-harris-ii/25931/stats/batting,OF,16.0,16.0,NL,Michael Harris II,671739.0,25931,25931
DET,Tigers,61.27,239.29,265.137,59.0837,36.4894,11.7464,1.22,9.6279,31.4061,32.6195,18.9307,0.2651,61.0668,4.2422,1.9128,0.7609,,0.5089,0.1742,0.246913,0.311135,0.426904,0.738039,0.323359,0.0713998,0.230322,0.31,0.179991,3.1909,0.29005,0.082,,32.5819,1.22111,0.531,-0.293891,-0.211891,2.08001,0.9211630970239639,5.63699996471405,103.614,296.8,4.86557377,296.8,4.86557377,254.6199951171875,0.07978723,C,/players/dillon-dingler/27464/stats/batting,C,6.0,6.0,AL,Dillon Dingler,693307.0,27464,27464
PHI,Phillies,82.38,309.608,364.761,83.1551,47.9847,18.4371,0.6618,16.0715,50.0891,51.7936,49.5345,3.6476,75.4204,2.5533,2.7262,0.3392,,5.864,1.9966,0.268582,0.371117,0.488135,0.859252,0.37236,0.1358,0.206767,0.656779,0.219553,3.88465,0.303763,0.113,,59.2158,16.0713,0.089,-0.175609,-0.0626086,2.07217,15.458679348230362,-6.860999807715416,135.973,527.9,6.437804878,527.9,6.437804878,47.900001525878906,0.03381643,OF,/players/bryce-harper/11579/stats/batting,OF,26.0,26.0,NL,Bryce Harper,547180.0,11579,11579
HOU,Astros,80.54,298.161,351.602,71.7261,42.6427,13.9156,0.505,14.6628,44.9449,46.0065,41.9812,0.3516,59.5427,8.4384,2.4668,0.5546,,0.624,0.2427,0.240562,0.347947,0.438153,0.7861,0.347931,0.1194,0.169347,0.70506,0.197591,2.29433,0.252022,-0.281,,50.1636,8.57561,-1.139,-0.480756,-0.761756,2.04429,8.039779961109161,-0.46100008487701416,121.169,444.4,5.486419753,444.4,5.486419753,243.60000610351562,0.10227273,3B,/players/isaac-paredes/20036/stats/batting,3B,21.0,21.0,AL,Isaac Paredes,670623.0,20036,20036
MIN,Twins,71.34,291.377,325.515,72.4368,38.0143,14.1217,2.0982,18.2025,47.6521,44.4167,25.8459,1.6276,87.4714,4.5572,2.1412,1.5939,,8.2481,1.7496,0.248602,0.317484,0.49888,0.816365,0.350402,0.0794,0.268717,0.295478,0.250279,6.1659,0.288719,0.508,,47.0894,8.58696,-0.47,0.564579,1.07258,2.02689,9.356653451919556,-1.0209999978542328,121.521,436.0,6.14084507,436.0,6.14084507,73.4800033569336,0.13227513,OF,/players/byron-buxton/14161/stats/batting,OF,8.0,8.0,AL,Byron Buxton,621439.0,14161,14161
ATH,Athletics,77.43,307.294,333.573,90.7974,64.6813,18.6798,0.5243,6.9121,39.9364,39.7144,19.514,0.3336,29.7153,3.6693,2.3385,0.7573,,2.9688,1.0323,0.295474,0.342474,0.427155,0.769629,0.338682,0.0584999,0.0890818,0.656699,0.131681,3.337,0.307266,-0.01,,45.1073,5.65171,-0.147,-0.308862,-0.318862,2.01529,4.211128115653992,3.7240000516176224,111.484,404.1,5.248051948,404.1,5.248051948,196.44000244140625,0.00591716,SS,/players/jacob-wilson/33266/stats/batting,SS,10.0,10.0,AL,Jacob Wilson,805779.0,33266,33266
SDP,Padres,83.31,329.764,362.27,83.6206,51.53,17.084,2.3526,12.654,43.0505,45.2899,26.5906,1.4491,76.1756,2.5359,2.6012,0.7779,,7.8203,2.5104,0.253577,0.311894,0.43477,0.746664,0.324741,0.0733999,0.210273,0.34907,0.181194,5.17931,0.291401,0.888,,44.9215,2.0716,1.905,0.0978576,0.985858,2.00156,4.810335338115692,3.1740000247955322,108.925,420.1,5.061445783,420.1,5.061445783,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,OF,29.0,29.0,NL,Jackson Merrill,701538.0,29490,29490
HOU,Astros,79.06,326.651,360.074,87.19,59.2067,16.9603,0.8821,10.1409,46.1854,36.6336,22.7567,0.7201,61.541,6.4813,2.2761,1.9095,,9.5258,2.8615,0.266921,0.325068,0.417379,0.742447,0.326793,0.0632,0.170912,0.369781,0.150458,4.93451,0.299516,0.547,,45.2443,2.65409,-0.833,0.24786,0.79486,1.99572,3.6803215742111206,3.1200000643730164,106.777,406.8,5.149367088,406.8,5.149367088,122.9800033569336,0.01219512,SS,/players/jeremy-pena/21636/stats/batting,SS,21.0,21.0,AL,Jeremy Peña,665161.0,21636,21636
LAA,Angels,77.4,286.735,349.802,67.4917,39.1736,11.6345,0.6584,16.0252,49.0273,42.2769,55.0939,6.2964,97.834,4.1976,2.4585,1.3174,,3.8415,1.141,0.23538,0.363813,0.448214,0.812027,0.353601,0.1575,0.279684,0.563137,0.212834,3.71579,0.293534,-0.444,,51.5038,10.1286,-1.287,-0.204396,-0.648396,1.98388,8.981332778930664,-1.931999921798706,123.28,460.9,5.985714285,460.9,5.985714285,178.44000244140625,0.57920792,OF,/players/mike-trout/10155/stats/batting,OF,1.0,1.0,AL,Mike Trout,545361.0,10155,10155
ATL,Braves,78.29,311.003,353.276,83.2881,54.0576,13.3319,0.8753,15.0233,49.209,43.4118,35.0803,0.7066,65.1552,3.1795,2.3279,1.6853,,1.6749,0.5231,0.267805,0.345708,0.461219,0.806927,0.353041,0.0992999,0.184431,0.538411,0.193414,3.22599,0.29279,-0.187,,51.856,10.07,-1.618,-0.380101,-0.567101,1.98107,9.447799921035767,-1.1010000109672546,123.966,453.2,5.81025641,453.2,5.81025641,78.62999725341797,0.19277108,C,/players/drake-baldwin/31539/stats/batting,C,16.0,16.0,NL,Drake Baldwin,686948.0,31539,31539
PHI,Phillies,82.4,345.661,379.513,92.266,63.6076,16.8829,1.674,10.1015,50.5463,37.9844,25.9587,0.3795,72.7617,3.4156,2.4148,2.063,,17.0175,3.3384,0.266926,0.322268,0.413125,0.735394,0.323732,0.0684,0.191724,0.356763,0.146199,6.23155,0.309806,1.051,,46.7514,1.86192,-0.901,1.52312,2.57412,1.96638,3.863774299621582,3.2189998626708984,102.873,434.8,5.302439024,434.8,5.302439024,26.780000686645508,0.00947867,SS,/players/trea-turner/16252/stats/batting,SS,26.0,26.0,NL,Trea Turner,607208.0,16252,16252
KCR,Royals,81.48,324.135,361.066,88.2923,60.8387,18.5235,2.2444,6.6857,43.9465,37.0272,31.8822,0.0,53.2555,1.4443,2.3738,1.2306,,12.2674,3.623,0.272393,0.337984,0.405268,0.743252,0.329419,0.0883001,0.147495,0.598665,0.132875,5.65569,0.306138,0.531,,46.1322,3.42473,1.814,0.447325,0.978325,1.94898,3.1048370599746704,3.2009999752044678,104.98,411.7,5.082716049,411.7,5.082716049,63.150001525878906,0.02880658,3B,/players/maikel-garcia/22715/stats/batting,3B,7.0,7.0,AL,Maikel Garcia,672580.0,22715,22715
SEA,Mariners,77.44,291.929,344.598,69.6644,48.237,13.3709,0.3579,7.6986,41.9416,30.092,45.1424,0.3446,66.8225,3.446,2.2176,1.8632,,3.5248,1.1749,0.238635,0.345027,0.366003,0.71103,0.322251,0.131,0.193914,0.675557,0.127368,3.43342,0.282143,-0.083,,42.0392,1.27952,1.479,-0.305217,-0.388217,1.934,3.5343454480171204,3.209999918937683,109.626,361.7,4.697402597,361.7,4.697402597,748.5399780273438,0.00469484,SS,/players/jp-crawford/15491/stats/batting,SS,11.0,11.0,AL,J.P. Crawford,641487.0,15491,15491
LAD,Dodgers,81.49,295.301,348.896,75.8927,45.5907,14.4948,1.4651,14.3421,49.0851,46.5156,47.8686,2.0934,58.4696,2.4423,2.4289,0.8553,,8.9111,2.0903,0.257001,0.362611,0.461712,0.824323,0.360688,0.1372,0.167584,0.818692,0.204711,5.11977,0.273657,0.014,,53.3615,12.0934,-1.053,0.409477,0.423477,1.93293,12.868249505758286,-5.126999855041504,130.155,470.0,5.802469135,470.0,5.802469135,13.130000114440918,0.09313725,OF,/players/kyle-tucker/18345/stats/batting,OF,22.0,22.0,NL,Kyle Tucker,663656.0,18345,18345
NYY,Yankees,81.91,319.241,359.164,84.2457,53.2936,14.5912,2.2888,14.0722,46.0178,49.5945,34.8389,1.0775,51.3021,2.155,2.578,0.3503,,7.3878,2.3458,0.263893,0.33789,0.456179,0.794069,0.346392,0.0970001,0.142838,0.679093,0.192285,5.01099,0.273639,0.172,,50.7974,8.31494,0.652,0.0246266,0.196627,1.92823,8.976652070879936,-2.8070001006126404,120.673,456.6,5.568292682,456.6,5.568292682,80.98999786376953,0.0,1B/OF,/players/cody-bellinger/15998/stats/batting,1B/OF,9.0,9.0,AL,Cody Bellinger,641355.0,15998,15998
