Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
LAA,Angels,10.6742,10.6374,30.78,30.78,0.0,0.0,,177.273,758.548,168.642,79.7926,72.0326,14.9303,164.641,75.3397,0.6941,8.6171,3.65704,1.37631,8.35868,3.82494,2.18531,0.758,0.217047,0.0993209,0.11772609502077103,0.571798,0.249992,0.310517,0.736013,3.79335,763.9,4.315819209039548,768.0,4.338983050847458,3.01306,3.12163,16.443,0.463669,0.821648,0.943448,5.3,4.79,4.45,4.18,3.95,3.72,3.5,3.25,2.94,4.66,4.43,4.27,4.14,4.02,3.91,3.79,3.66,3.48,354.1000061035156,1.0,AL,José Soriano,667755.0,22100,22100
ATL,Braves,11.0634,8.4143,27.54,27.54,0.0,0.0,,166.671,689.008,159.331,73.5827,67.6409,20.0931,162.664,38.2682,0.9088,6.3099,3.65251,1.18556,8.78361,2.06643,4.25063,1.085,0.236084,0.055541,0.18054305016994476,0.453458,0.247243,0.301594,0.731795,3.55283,770.4,4.613173652694611,769.0,4.604790419161676,2.98123,3.18369,16.0361,0.489816,0.840297,0.972635,5.26,4.73,4.38,4.1,3.86,3.63,3.4,3.15,2.83,4.62,4.37,4.21,4.07,3.94,3.82,3.7,3.56,3.37,81.19999694824219,16.0,NL,Spencer Schwellenbach,680885.0,31846,31846
MIL,Brewers,9.9328,9.1804,27.54,27.54,0.0,0.0,,159.667,661.693,143.423,73.1092,68.2289,23.2226,168.095,43.5156,0.3686,6.3463,3.84589,1.17081,9.47511,2.45286,3.86287,1.309,0.254038,0.065764,0.18827418237924576,0.363943,0.234416,0.285842,0.737109,3.8572,715.3,4.470625,687.0,4.29375,2.9564,2.72519,14.3113,0.524057,0.87206,1.01741,5.46,4.91,4.54,4.25,4.0,3.76,3.52,3.26,2.93,4.81,4.55,4.37,4.22,4.09,3.96,3.83,3.67,3.48,117.9000015258789,23.0,NL,Brandon Woodruff,605540.0,16162,16162
PHI,Phillies,10.9639,10.537,30.78,30.78,0.0,0.0,,180.677,758.829,175.189,86.536,80.1645,26.5596,175.91,46.1421,0.5995,5.8718,3.9932,1.22501,8.76254,2.29846,3.81236,1.323,0.231818,0.060807,0.17101111263036728,0.422958,0.247857,0.294698,0.731995,3.96255,748.3000000000002,4.13425414364641,750.0,4.143646408839779,2.95285,2.86942,15.8582,0.440771,0.83509,0.944274,5.56,5.05,4.72,4.45,4.21,3.99,3.76,3.51,3.19,4.89,4.67,4.52,4.4,4.29,4.18,4.06,3.94,3.76,211.8000030517578,26.0,NL,Aaron Nola,605400.0,16149,16149
MIL,Brewers,10.9345,10.3868,30.78,30.78,0.0,0.0,,177.641,750.489,153.724,82.8372,77.1997,24.8697,199.673,65.5109,0.5066,8.019,3.91125,1.23415,10.1162,3.31905,3.04793,1.26,0.266057,0.087291,0.17876584827899933,0.365926,0.22708,0.284813,0.739614,3.94886,787.3000000000001,4.423033707865169,743.0,4.174157303370786,2.947,2.84169,15.6418,0.427622,0.833073,0.936414,5.43,4.93,4.6,4.33,4.1,3.87,3.65,3.4,3.09,4.76,4.55,4.4,4.28,4.18,4.07,3.96,3.83,3.67,60.099998474121094,23.0,NL,Freddy Peralta,642547.0,18679,18679
WSN,Nationals,10.5512,10.6625,30.78,30.78,0.0,0.0,,175.533,739.71,153.042,79.1623,73.336,22.0977,192.898,66.5066,0.3773,6.8675,3.76011,1.25075,9.89033,3.40995,2.90043,1.133,0.260775,0.089909,0.17086586356163025,0.394355,0.229677,0.290124,0.744314,3.82786,798.0000000000002,4.53409090909091,758.0,4.306818181818182,2.92804,3.31679,15.811,0.434669,0.826389,0.933732,5.29,4.79,4.46,4.19,3.96,3.73,3.51,3.27,2.96,4.63,4.42,4.27,4.15,4.04,3.93,3.82,3.69,3.52,212.10000610351562,24.0,NL,MacKenzie Gore,669022.0,22201,22201
SDP,Padres,11.5602,10.9739,32.0,32.0,0.0,0.0,,191.005,797.849,170.568,89.6569,84.0327,29.436,209.943,58.8829,0.9462,5.6232,3.95955,1.20128,9.89233,2.77451,3.56543,1.387,0.263136,0.0738021,0.189333938062191,0.338098,0.23259,0.285713,0.742635,3.95344,837.1,4.382722513089005,803.0,4.204188481675392,2.86762,2.68794,17.1203,0.43474,0.805583,0.915403,5.43,4.94,4.62,4.36,4.13,3.91,3.69,3.45,3.14,4.79,4.58,4.43,4.31,4.2,4.09,3.98,3.85,3.68,89.0,29.0,NL,Nick Pivetta,601713.0,15454,15454
TBR,Rays,10.5382,10.4063,30.78,30.78,0.0,0.0,,171.003,718.502,170.133,81.1235,74.6546,21.5084,156.549,44.7433,0.6071,6.0721,3.92911,1.25656,8.23924,2.35486,3.49882,1.132,0.217882,0.062273,0.155608881264925,0.46686,0.254809,0.303544,0.723909,3.83079,713.8000000000002,4.174269005847954,730.0,4.269005847953216,2.84141,2.47547,14.5023,0.504096,0.855077,0.992607,5.58,5.04,4.69,4.41,4.16,3.92,3.69,3.43,3.1,4.93,4.68,4.51,4.37,4.24,4.12,3.99,3.84,3.65,150.0,12.0,AL,Drew Rasmussen,656876.0,25385,25385
,,10.1134,9.6067,29.16,29.16,0.0,0.0,,160.055,677.914,146.937,74.2637,68.6855,20.576,163.062,54.8886,0.8704,6.6632,3.86222,1.26098,9.16906,3.08642,2.97078,1.157,0.240535,0.0809669,0.15956802666187286,0.409,0.238395,0.292014,0.737271,3.92249,683.5,4.271875,667.0,4.16875,2.8358,2.58207,13.6369,0.483435,0.875826,1.00039,5.5,4.95,4.6,4.31,4.06,3.82,3.59,3.33,3.0,4.81,4.57,4.41,4.27,4.15,4.03,3.9,3.76,3.58,148.6999969482422,-1.0,,Michael King,650633.0,19853,19853
TOR,Blue Jays,11.2524,10.5164,30.78,30.78,0.0,0.0,,185.401,784.933,177.843,89.7017,83.4475,25.6884,180.505,54.6769,0.7182,4.4898,4.05082,1.25415,8.76231,2.6542,3.3013,1.247,0.229962,0.069658,0.16030412167310715,0.380152,0.245042,0.292846,0.726603,3.94656,771.4000000000001,4.16972972972973,772.0,4.172972972972973,2.82525,2.21016,16.4313,0.416502,0.827722,0.926605,5.58,5.08,4.76,4.49,4.26,4.04,3.81,3.57,3.25,4.9,4.7,4.56,4.44,4.33,4.23,4.12,4.0,3.84,120.4000015258789,14.0,AL,Kevin Gausman,592332.0,14107,14107
